index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900533,1,0,0,Julien Féret,Caen,2,Caen,Pass,From Kick Off,,,0.422479,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3900533,1,0,0,Andy Delort,Caen,2,Caen,Pass,From Kick Off,,,1.342432,,,0,59.7,41.7,0,0,0,draw,0,0,0
9,3900533,1,0,2,Nicolas Seube,Caen,2,Caen,Carry,From Kick Off,,,0.535772,,,0,51.5,36.0,2,0,0,draw,0,2,0
10,3900533,1,0,2,Nicolas Seube,Caen,2,Caen,Pass,From Kick Off,,,5.211525,Incomplete,,0,52.5,37.5,2,0,0,draw,0,2,0
12,3900533,1,0,8,Danijel Subašić,AS Monaco,3,AS Monaco,Ball Recovery,Regular Play,,,0.0,,,0,3.6,24.9,8,0,0,draw,0,8,0
13,3900533,1,0,8,Danijel Subašić,AS Monaco,3,AS Monaco,Carry,Regular Play,,,2.839999,,,0,3.6,24.9,8,0,0,draw,0,8,0
14,3900533,1,0,10,Danijel Subašić,AS Monaco,3,AS Monaco,Pass,Regular Play,,,2.030699,,,0,12.8,32.0,10,0,0,draw,0,10,0
16,3900533,1,0,12,Wallace Fortuna dos Santos,AS Monaco,3,AS Monaco,Carry,Regular Play,,,1.621345,,,0,20.8,54.6,12,0,0,draw,0,12,0
17,3900533,1,0,14,Wallace Fortuna dos Santos,AS Monaco,3,AS Monaco,Pass,Regular Play,,,1.294433,,,0,25.4,61.5,14,0,0,draw,0,14,0
19,3900533,1,0,15,Fábio Henrique Tavares,AS Monaco,3,AS Monaco,Carry,Regular Play,,,3.722412,,,0,38.9,67.3,15,0,0,draw,0,15,0
20,3900533,1,0,19,Fábio Henrique Tavares,AS Monaco,3,AS Monaco,Pass,Regular Play,,,0.939769,,,0,48.6,75.9,19,0,0,draw,0,19,0
22,3900533,1,0,20,Bernardo Mota Veiga de Carvalho e Silva,AS Monaco,3,AS Monaco,Carry,Regular Play,,,1.357825,,,0,65.8,71.2,20,0,0,draw,0,20,0
23,3900533,1,0,21,Chaker Alhadhur,Caen,3,AS Monaco,Pressure,Regular Play,,,0.447182,,,0,50.6,6.3,21,0,0,draw,0,21,0
24,3900533,1,0,21,Bernardo Mota Veiga de Carvalho e Silva,AS Monaco,3,AS Monaco,Pass,Regular Play,,,1.675103,,,0,64.7,71.8,21,0,0,draw,0,21,0
26,3900533,1,0,23,Mario Pašalić,AS Monaco,3,AS Monaco,Carry,Regular Play,,,1.144607,,,0,54.7,41.3,23,0,0,draw,0,23,0
27,3900533,1,0,24,Mario Pašalić,AS Monaco,3,AS Monaco,Pass,Regular Play,,,1.75496,,,0,51.5,29.8,24,0,0,draw,0,24,0
29,3900533,1,0,26,Fábio Alexandre da Silva Coentrão,AS Monaco,3,AS Monaco,Carry,Regular Play,,,1.385596,,,0,55.8,6.6,26,0,0,draw,0,26,0
30,3900533,1,0,27,Fábio Alexandre da Silva Coentrão,AS Monaco,3,AS Monaco,Pass,Regular Play,,,1.771553,,,0,57.0,6.6,27,0,0,draw,0,27,0
32,3900533,1,0,29,Stephan El Shaarawy,AS Monaco,3,AS Monaco,Carry,Regular Play,,,0.04,,,0,95.0,9.9,29,0,0,draw,0,29,0
33,3900533,1,0,29,Stephan El Shaarawy,AS Monaco,3,AS Monaco,Pass,Regular Play,,,1.078624,Incomplete,,0,96.9,9.8,29,0,0,draw,0,29,0
35,3900533,1,0,30,Nicolas Seube,Caen,4,Caen,Interception,Regular Play,,,0.0,,,0,34.2,65.2,30,0,0,draw,0,30,0
36,3900533,1,0,30,Nicolas Seube,Caen,4,Caen,Carry,Regular Play,,,2.555797,,,0,34.2,65.2,30,0,0,draw,0,30,0
37,3900533,1,0,33,Nicolas Seube,Caen,4,Caen,Pass,Regular Play,,,3.764735,Incomplete,,0,24.5,75.5,33,0,0,draw,0,33,0
39,3900533,1,0,37,Fábio Henrique Tavares,AS Monaco,4,Caen,Pass,Regular Play,,,1.289167,Incomplete,,0,71.9,33.2,37,0,0,draw,0,37,0
40,3900533,1,0,37,Julien Féret,Caen,4,Caen,Duel,Regular Play,Aerial Lost,,0.0,,,0,48.2,46.9,37,0,0,draw,0,37,0
42,3900533,1,0,38,Dennis Appiah,Caen,4,Caen,Pass,Regular Play,,,2.42333,Incomplete,,0,34.0,53.9,38,0,0,draw,0,38,0
44,3900533,1,0,40,Mario Pašalić,AS Monaco,4,Caen,Pass,Regular Play,,,1.054916,Incomplete,,0,65.8,27.0,40,0,0,draw,0,40,0
46,3900533,1,0,41,Nicolas Seube,Caen,4,Caen,Pass,Regular Play,,,2.191587,,,0,40.9,50.0,41,0,0,draw,0,41,0
48,3900533,1,0,43,Andy Delort,Caen,4,Caen,Pass,Regular Play,,,1.480054,,,0,64.8,53.3,43,0,0,draw,0,43,0
50,3900533,1,0,45,Julien Féret,Caen,4,Caen,Pass,Regular Play,,,1.569135,,,0,54.5,47.7,45,0,0,draw,0,45,0
52,3900533,1,0,47,Dennis Appiah,Caen,4,Caen,Carry,Regular Play,,,3.573222,,,0,55.7,74.1,47,0,0,draw,0,47,0
53,3900533,1,0,50,Dennis Appiah,Caen,4,Caen,Pass,Regular Play,,,2.108493,,,0,67.0,75.0,50,0,0,draw,0,50,0
55,3900533,1,0,52,Syam Ben Youssef,Caen,4,Caen,Pass,Regular Play,,,1.152693,,,0,50.0,71.6,52,0,0,draw,0,52,0
57,3900533,1,0,53,Dennis Appiah,Caen,4,Caen,Carry,Regular Play,,,0.505505,,,0,64.0,76.9,53,0,0,draw,0,53,0
58,3900533,1,0,54,Stephan El Shaarawy,AS Monaco,4,Caen,Pressure,Regular Play,,,0.210841,,,0,53.9,5.7,54,0,0,draw,0,54,0
59,3900533,1,0,54,Dennis Appiah,Caen,4,Caen,Pass,Regular Play,,,0.682371,Incomplete,,0,61.7,77.7,54,0,0,draw,0,54,0
61,3900533,1,0,55,Mario Pašalić,AS Monaco,5,AS Monaco,Ball Recovery,Regular Play,,,0.0,,,0,52.8,9.1,55,0,0,draw,0,55,0
62,3900533,1,0,55,Mario Pašalić,AS Monaco,5,AS Monaco,Carry,Regular Play,,,1.196734,,,0,52.8,9.1,55,0,0,draw,0,55,0
63,3900533,1,0,56,Mario Pašalić,AS Monaco,5,AS Monaco,Pass,Regular Play,,,1.121158,,,0,64.5,4.3,56,0,0,draw,0,56,0
64,3900533,1,0,57,Jonathan Delaplace,Caen,5,AS Monaco,Pressure,Regular Play,,,0.342608,,,0,50.3,64.9,57,0,0,draw,0,57,0
66,3900533,1,0,57,Guido Marcelo Carrillo,AS Monaco,5,AS Monaco,Carry,Regular Play,,,0.040000003,,,0,70.4,11.2,57,0,0,draw,0,57,0
67,3900533,1,0,57,Guido Marcelo Carrillo,AS Monaco,5,AS Monaco,Pass,Regular Play,,,0.877616,,,0,71.7,19.5,57,0,0,draw,0,57,0
69,3900533,1,0,58,Mario Pašalić,AS Monaco,5,AS Monaco,Carry,Regular Play,,,1.400917,,,0,77.5,5.4,58,0,0,draw,0,58,0
70,3900533,1,0,59,Syam Ben Youssef,Caen,5,AS Monaco,Pressure,Regular Play,,,0.463497,,,0,38.2,72.0,59,0,0,draw,0,59,0
71,3900533,1,0,59,Mario Pašalić,AS Monaco,5,AS Monaco,Dispossessed,Regular Play,,,0.0,,,0,79.2,5.4,59,0,0,draw,0,59,0
72,3900533,1,0,59,Syam Ben Youssef,Caen,5,AS Monaco,Duel,Regular Play,Tackle,Lost In Play,0.0,,,0,40.9,74.7,59,0,0,draw,0,59,0
73,3900533,1,0,59,Stephan El Shaarawy,AS Monaco,5,AS Monaco,Ball Recovery,Regular Play,,,0.0,,,0,76.4,4.6,59,0,0,draw,0,59,0
74,3900533,1,1,10,Dennis Appiah,Caen,6,Caen,Pass,From Throw In,,,1.066548,,,0,45.9,80.0,70,0,0,draw,0,70,0
76,3900533,1,1,11,Ronny Rodelin,Caen,6,Caen,Carry,From Throw In,,,0.868675,,,0,64.3,73.6,71,0,0,draw,0,71,0
77,3900533,1,1,12,Ronny Rodelin,Caen,6,Caen,Pass,From Throw In,,,0.643937,,,0,62.6,73.8,72,0,0,draw,0,72,0
79,3900533,1,1,12,Jonathan Delaplace,Caen,6,Caen,Carry,From Throw In,,,0.329759,,,0,56.4,67.0,72,0,0,draw,0,72,0
80,3900533,1,1,13,Jonathan Delaplace,Caen,6,Caen,Pass,From Throw In,,,1.552067,,,0,57.0,67.0,73,0,0,draw,0,73,0
81,3900533,1,1,14,Ricardo Alberto Silveira de Carvalho,AS Monaco,6,Caen,Pressure,From Throw In,,,0.531161,,,0,44.4,12.4,74,0,0,draw,0,74,0
83,3900533,1,1,14,Andy Delort,Caen,6,Caen,Carry,From Throw In,,,0.598644,,,0,73.2,70.5,74,0,0,draw,0,74,0
84,3900533,1,1,15,Andy Delort,Caen,6,Caen,Pass,From Throw In,,,1.308773,,,0,74.7,72.2,75,0,0,draw,0,75,0
86,3900533,1,1,16,Ronny Rodelin,Caen,6,Caen,Pass,From Throw In,,,2.778016,,,0,68.6,68.1,76,0,0,draw,0,76,0
88,3900533,1,1,19,Jonathan Delaplace,Caen,6,Caen,Carry,From Throw In,,,3.61097,,,0,95.0,71.6,79,0,0,draw,0,79,0
89,3900533,1,1,21,Fábio Henrique Tavares,AS Monaco,6,Caen,Pressure,From Throw In,,,1.797248,,,0,23.4,12.9,81,0,0,draw,0,81,0
90,3900533,1,1,22,Jonathan Delaplace,Caen,6,Caen,Pass,From Throw In,,,1.104138,,,0,91.4,58.6,82,0,0,draw,0,82,0
91,3900533,1,1,24,Mario Pašalić,AS Monaco,6,Caen,Pressure,From Throw In,,,0.471732,,,0,27.3,33.1,84,0,0,draw,0,84,0
93,3900533,1,1,24,Ronny Rodelin,Caen,6,Caen,Carry,From Throw In,,,0.066358,,,0,92.5,41.6,84,0,0,draw,0,84,0
