index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900532,1,0,0,Billy Ketkeophomphone,Angers,2,Angers,Pass,From Kick Off,,,0.621272,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3900532,1,0,1,Thomas Mangani,Angers,2,Angers,Pass,From Kick Off,,,1.681701,,,0,59.4,38.8,1,0,0,draw,0,1,0
9,3900532,1,0,2,Cheikh N''Doye,Angers,2,Angers,Carry,From Kick Off,,,0.095381,,,0,49.2,46.3,2,0,0,draw,0,2,0
10,3900532,1,0,2,Cheikh N''Doye,Angers,2,Angers,Pass,From Kick Off,,,4.91979,Incomplete,,0,48.7,47.4,2,0,0,draw,0,2,0
11,3900532,1,0,7,Abdoul Razzagui Camara,Angers,2,Angers,Pressure,From Kick Off,,,2.461897,,,0,104.6,7.6,7,0,0,draw,0,7,0
13,3900532,1,0,7,Serge Aurier,Paris Saint-Germain,2,Angers,Ball Recovery,From Kick Off,,,0.0,,,0,12.1,74.7,7,0,0,draw,0,7,0
14,3900532,1,0,20,Yoann Andreu,Angers,3,Angers,Pass,From Throw In,,,1.432611,,,0,107.5,0.1,20,0,0,draw,0,20,0
16,3900532,1,0,21,Romain Saïss,Angers,3,Angers,Carry,From Throw In,,,0.035255,,,0,92.8,6.0,21,0,0,draw,0,21,0
17,3900532,1,0,21,Romain Saïss,Angers,3,Angers,Pass,From Throw In,,,4.19508,Incomplete,,0,93.0,7.2,21,0,0,draw,0,21,0
19,3900532,1,0,25,Kevin Trapp,Paris Saint-Germain,4,Paris Saint-Germain,Ball Recovery,Regular Play,,,0.0,,,0,5.4,36.8,25,0,0,draw,0,25,0
20,3900532,1,0,25,Kevin Trapp,Paris Saint-Germain,4,Paris Saint-Germain,Carry,Regular Play,,,5.123615,,,0,5.4,36.8,25,0,0,draw,0,25,0
