index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3901177,1,0,0,Axel Ngando,Bastia,2,Bastia,Pass,From Kick Off,,,0.337327,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3901177,1,0,1,Mehdi Mostefa Sbaa,Bastia,2,Bastia,Pass,From Kick Off,,,1.090646,,,0,60.7,42.3,1,0,0,draw,0,1,0
9,3901177,1,0,2,Yannick Cahuzac,Bastia,2,Bastia,Carry,From Kick Off,,,1.475612,,,0,47.8,41.5,2,0,0,draw,0,2,0
10,3901177,1,0,4,Yannick Cahuzac,Bastia,2,Bastia,Pass,From Kick Off,,,3.230278,Out,,0,46.2,49.1,4,0,0,draw,0,4,0
12,3901177,1,0,15,Bakary Adama Soumaoro,Lille,3,Lille,Pass,From Throw In,,,2.254593,,,0,33.3,0.1,15,0,0,draw,0,15,0
14,3901177,1,0,17,Éderzito António Macedo Lopes,Lille,3,Lille,Pass,From Throw In,,,1.838681,Incomplete,,0,55.9,4.0,17,0,0,draw,0,17,0
16,3901177,1,0,19,François Modesto,Bastia,3,Lille,Pass,From Throw In,,,2.011355,Incomplete,,0,55.2,59.3,19,0,0,draw,0,19,0
18,3901177,1,0,21,Marko Baša,Lille,3,Lille,Pass,From Throw In,,,3.115637,,,0,32.1,18.9,21,0,0,draw,0,21,0
20,3901177,1,0,24,Morgan Amalfitano,Lille,3,Lille,Pass,From Throw In,,,3.710089,,,0,57.1,45.2,24,0,0,draw,0,24,0
22,3901177,1,0,28,Sébastien Squillaci,Bastia,3,Lille,Duel,From Throw In,Aerial Lost,,0.0,,,0,18.9,59.3,28,0,0,draw,0,28,0
23,3901177,1,0,28,Éderzito António Macedo Lopes,Lille,3,Lille,Miscontrol,From Throw In,,,0.0,,,0,101.2,20.8,28,0,0,draw,0,28,0
24,3901177,1,0,29,Éderzito António Macedo Lopes,Lille,3,Lille,Pressure,From Throw In,,,1.12856,,,0,105.9,19.1,29,0,0,draw,0,29,0
25,3901177,1,0,30,Sébastien Squillaci,Bastia,3,Lille,Pass,From Throw In,,,2.921674,Incomplete,,0,13.8,67.1,30,0,0,draw,0,30,0
26,3901177,1,0,32,Alexander Djiku,Bastia,3,Lille,Pressure,From Throw In,,,1.862187,,,0,30.4,78.4,32,0,0,draw,0,32,0
28,3901177,1,0,33,Sofiane Boufal,Lille,3,Lille,Ball Recovery,From Throw In,,,0.0,,,0,85.0,0.5,33,0,0,draw,0,33,0
29,3901177,1,0,33,Sofiane Boufal,Lille,3,Lille,Carry,From Throw In,,,1.217007,,,0,85.0,0.5,33,0,0,draw,0,33,0
30,3901177,1,0,34,Sofiane Boufal,Lille,3,Lille,Pass,From Throw In,,,1.009612,,,0,82.7,1.5,34,0,0,draw,0,34,0
32,3901177,1,0,35,Bakary Adama Soumaoro,Lille,3,Lille,Carry,From Throw In,,,0.173924,,,0,69.9,0.3,35,0,0,draw,0,35,0
33,3901177,1,0,35,Bakary Adama Soumaoro,Lille,3,Lille,Pass,From Throw In,,,1.043174,,,0,69.9,0.9,35,0,0,draw,0,35,0
35,3901177,1,0,36,Mounir Obbadi,Lille,3,Lille,Carry,From Throw In,,,0.359515,,,0,68.2,5.0,36,0,0,draw,0,36,0
36,3901177,1,0,36,Yannick Cahuzac,Bastia,3,Lille,Pressure,From Throw In,,,0.431614,,,0,49.3,74.6,36,0,0,draw,0,36,0
37,3901177,1,0,37,Mounir Obbadi,Lille,3,Lille,Pass,From Throw In,,,3.056946,,,0,66.4,5.0,37,0,0,draw,0,37,0
39,3901177,1,0,40,Marko Baša,Lille,3,Lille,Carry,From Throw In,,,0.132993,,,0,36.2,6.9,40,0,0,draw,0,40,0
40,3901177,1,0,40,Marko Baša,Lille,3,Lille,Pass,From Throw In,,,2.136079,,,0,33.6,6.9,40,0,0,draw,0,40,0
42,3901177,1,0,42,Vincent Enyeama,Lille,3,Lille,Carry,From Throw In,,,3.324247,,,0,16.7,42.9,42,0,0,draw,0,42,0
43,3901177,1,0,45,Vincent Enyeama,Lille,3,Lille,Pass,From Throw In,,,1.937669,,,0,17.6,43.3,45,0,0,draw,0,45,0
45,3901177,1,0,47,Marko Baša,Lille,3,Lille,Carry,From Throw In,,,5.833468,,,0,27.5,21.4,47,0,0,draw,0,47,0
46,3901177,1,0,53,Marko Baša,Lille,3,Lille,Pass,From Throw In,,,0.919777,,,0,39.7,21.8,53,0,0,draw,0,53,0
48,3901177,1,0,54,Mounir Obbadi,Lille,3,Lille,Carry,From Throw In,,,0.890067,,,0,44.6,17.5,54,0,0,draw,0,54,0
49,3901177,1,0,55,Yannick Cahuzac,Bastia,3,Lille,Pressure,From Throw In,,,0.581801,,,0,72.8,61.6,55,0,0,draw,0,55,0
50,3901177,1,0,55,Mounir Obbadi,Lille,3,Lille,Pass,From Throw In,,,2.646978,,,0,42.0,16.3,55,0,0,draw,0,55,0
52,3901177,1,0,58,Vincent Enyeama,Lille,3,Lille,Carry,From Throw In,,,2.481158,,,0,13.0,36.0,58,0,0,draw,0,58,0
53,3901177,1,1,0,Vincent Enyeama,Lille,3,Lille,Pass,From Throw In,,,1.781973,,,0,16.5,35.7,60,0,0,draw,0,60,0
55,3901177,1,1,2,Marko Baša,Lille,3,Lille,Carry,From Throw In,,,2.64055,,,0,22.9,21.2,62,0,0,draw,0,62,0
