index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900609,1,0,0,Cheick Tidiane Diabaté,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,0.572613,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3900609,1,0,1,Jaroslav Plašil,Bordeaux,2,Bordeaux,Carry,From Kick Off,,,0.03326,,,0,61.5,43.5,1,0,0,draw,0,1,0
8,3900609,1,0,1,Jaroslav Plašil,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,1.804529,,,0,61.7,44.8,1,0,0,draw,0,1,0
10,3900609,1,0,3,Frédéric Guilbert,Bordeaux,2,Bordeaux,Carry,From Kick Off,,,1.651987,,,0,37.8,52.2,3,0,0,draw,0,3,0
11,3900609,1,0,4,Frédéric Guilbert,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,1.775192,Incomplete,,0,43.2,55.0,4,0,0,draw,0,4,0
13,3900609,1,0,6,Yacouba Sylla,Rennes,3,Rennes,Pass,Regular Play,,,1.091271,,,0,38.6,40.4,6,0,0,draw,0,6,0
15,3900609,1,0,7,Romain Danzé,Rennes,3,Rennes,Pass,Regular Play,,,1.093872,,,0,24.6,55.3,7,0,0,draw,0,7,0
17,3900609,1,0,8,Gélson da Conceição Tavares Fernandes,Rennes,3,Rennes,Carry,Regular Play,,,0.045215,,,0,34.7,52.2,8,0,0,draw,0,8,0
18,3900609,1,0,8,Gélson da Conceição Tavares Fernandes,Rennes,3,Rennes,Pass,Regular Play,,,2.266647,,,0,34.1,52.5,8,0,0,draw,0,8,0
20,3900609,1,0,11,Romain Danzé,Rennes,3,Rennes,Carry,Regular Play,,,0.188193,,,0,31.0,69.0,11,0,0,draw,0,11,0
21,3900609,1,0,11,Romain Danzé,Rennes,3,Rennes,Pass,Regular Play,,,3.257789,Incomplete,,0,31.4,69.0,11,0,0,draw,0,11,0
23,3900609,1,0,14,Frédéric Guilbert,Bordeaux,4,Bordeaux,Ball Recovery,Regular Play,,,0.0,,,0,39.2,33.3,14,0,0,draw,0,14,0
24,3900609,1,0,14,Frédéric Guilbert,Bordeaux,4,Bordeaux,Carry,Regular Play,,,4.414583,,,0,39.2,33.3,14,0,0,draw,0,14,0
25,3900609,1,0,19,Frédéric Guilbert,Bordeaux,4,Bordeaux,Pass,Regular Play,,,1.812111,,,0,40.7,57.4,19,0,0,draw,0,19,0
27,3900609,1,0,20,André Biyogo Poko,Bordeaux,4,Bordeaux,Carry,Regular Play,,,0.154968,,,0,47.3,75.1,20,0,0,draw,0,20,0
28,3900609,1,0,21,André Biyogo Poko,Bordeaux,4,Bordeaux,Pass,Regular Play,,,2.277274,,,0,46.5,74.6,21,0,0,draw,0,21,0
30,3900609,1,0,23,Jérôme Prior,Bordeaux,4,Bordeaux,Carry,Regular Play,,,9.696338,,,0,16.0,53.1,23,0,0,draw,0,23,0
31,3900609,1,0,33,Jérôme Prior,Bordeaux,4,Bordeaux,Pass,Regular Play,,,3.014315,,,0,16.0,53.1,33,0,0,draw,0,33,0
33,3900609,1,0,36,Cheick Tidiane Diabaté,Bordeaux,4,Bordeaux,Pass,Regular Play,,,3.134429,Incomplete,,0,85.1,32.4,36,0,0,draw,0,36,0
34,3900609,1,0,36,Yacouba Sylla,Rennes,4,Bordeaux,Duel,Regular Play,Aerial Lost,,0.0,,,0,35.0,47.7,36,0,0,draw,0,36,0
35,3900609,1,0,38,Diego Alejandro Rolan Silva,Bordeaux,4,Bordeaux,Pressure,Regular Play,,,0.457355,,,0,109.0,13.2,38,0,0,draw,0,38,0
37,3900609,1,0,39,Romain Danzé,Rennes,4,Bordeaux,Clearance,Regular Play,,,0.0,,,0,8.7,66.7,39,0,0,draw,0,39,0
38,3900609,1,0,43,Diego Armando Valentin Contento,Bordeaux,5,Bordeaux,Pass,From Throw In,,,1.08736,,,0,101.2,0.1,43,0,0,draw,0,43,0
40,3900609,1,0,45,Valentín Vada,Bordeaux,5,Bordeaux,Pass,From Throw In,,,0.723602,,,0,85.1,4.9,45,0,0,draw,0,45,0
42,3900609,1,0,46,Diego Armando Valentin Contento,Bordeaux,5,Bordeaux,Carry,From Throw In,,,0.999742,,,0,92.2,5.2,46,0,0,draw,0,46,0
43,3900609,1,0,47,Diego Armando Valentin Contento,Bordeaux,5,Bordeaux,Pass,From Throw In,,,0.605744,,,0,93.4,5.8,47,0,0,draw,0,47,0
45,3900609,1,0,48,Diego Alejandro Rolan Silva,Bordeaux,5,Bordeaux,Carry,From Throw In,,,0.788903,,,0,92.9,11.5,48,0,0,draw,0,48,0
46,3900609,1,0,48,Diego Alejandro Rolan Silva,Bordeaux,5,Bordeaux,Pass,From Throw In,,,2.034621,,,0,96.9,12.0,48,0,0,draw,0,48,0
48,3900609,1,0,50,Diego Armando Valentin Contento,Bordeaux,5,Bordeaux,Carry,From Throw In,,,0.1008,,,0,114.7,13.4,50,0,0,draw,0,50,0
49,3900609,1,0,50,Diego Armando Valentin Contento,Bordeaux,5,Bordeaux,Pass,From Throw In,,,1.180801,Incomplete,,0,114.7,13.4,50,0,0,draw,0,50,0
51,3900609,1,0,52,Yacouba Sylla,Rennes,5,Bordeaux,Clearance,From Throw In,,,0.0,,,0,8.5,49.9,52,0,0,draw,0,52,0
52,3900609,1,0,53,Romain Danzé,Rennes,5,Bordeaux,Clearance,From Throw In,,,0.0,,,0,2.8,60.1,53,0,0,draw,0,53,0
53,3900609,1,0,56,Frédéric Guilbert,Bordeaux,5,Bordeaux,Ball Recovery,From Throw In,,,0.0,,,0,64.3,21.0,56,0,0,draw,0,56,0
54,3900609,1,0,56,Frédéric Guilbert,Bordeaux,5,Bordeaux,Carry,From Throw In,,,2.863955,,,0,64.3,21.0,56,0,0,draw,0,56,0
55,3900609,1,0,59,Frédéric Guilbert,Bordeaux,5,Bordeaux,Pass,From Throw In,,,0.733186,,,0,53.9,37.3,59,0,0,draw,0,59,0
57,3900609,1,1,0,Clément Chantôme,Bordeaux,5,Bordeaux,Carry,From Throw In,,,0.852998,,,0,58.8,38.7,60,0,0,draw,0,60,0
58,3900609,1,1,1,Clément Chantôme,Bordeaux,5,Bordeaux,Pass,From Throw In,,,2.510081,,,0,56.3,38.7,61,0,0,draw,0,61,0
60,3900609,1,1,3,Jérôme Prior,Bordeaux,5,Bordeaux,Carry,From Throw In,,,1.6,,,0,22.7,38.3,63,0,0,draw,0,63,0
61,3900609,1,1,5,Jérôme Prior,Bordeaux,5,Bordeaux,Pass,From Throw In,,,1.753956,,,0,22.7,38.3,65,0,0,draw,0,65,0
63,3900609,1,1,7,Cédric Yambéré,Bordeaux,5,Bordeaux,Carry,From Throw In,,,1.159023,,,0,38.8,20.0,67,0,0,draw,0,67,0
64,3900609,1,1,8,Cédric Yambéré,Bordeaux,5,Bordeaux,Pass,From Throw In,,,1.149431,,,0,38.8,20.0,68,0,0,draw,0,68,0
66,3900609,1,1,9,Clément Chantôme,Bordeaux,5,Bordeaux,Carry,From Throw In,,,2.246412,,,0,41.3,29.2,69,0,0,draw,0,69,0
67,3900609,1,1,11,Clément Chantôme,Bordeaux,5,Bordeaux,Pass,From Throw In,,,0.605744,,,0,49.2,16.9,71,0,0,draw,0,71,0
69,3900609,1,1,12,Diego Alejandro Rolan Silva,Bordeaux,5,Bordeaux,Carry,From Throw In,,,3.496722,,,0,66.2,16.9,72,0,0,draw,0,72,0
