index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900573,1,0,1,Billy Ketkeophomphone,Angers,2,Angers,Pass,From Kick Off,,,0.596941,,,0,60.0,40.0,1,0,0,draw,0,0,0
7,3900573,1,0,1,Charles Diers,Angers,2,Angers,Carry,From Kick Off,,,0.597937,,,0,59.6,38.3,1,0,0,draw,0,0,0
8,3900573,1,0,2,Charles Diers,Angers,2,Angers,Pass,From Kick Off,,,1.400275,,,0,56.6,37.8,2,0,0,draw,0,1,0
10,3900573,1,0,3,Ismaël Traoré,Angers,2,Angers,Carry,From Kick Off,,,0.69087,,,0,35.4,39.7,3,0,0,draw,0,2,0
11,3900573,1,0,4,Ismaël Traoré,Angers,2,Angers,Pass,From Kick Off,,,1.145204,,,0,33.5,40.5,4,0,0,draw,0,3,0
13,3900573,1,0,5,Romain Saïss,Angers,2,Angers,Carry,From Kick Off,,,0.220486,,,0,46.2,28.1,5,0,0,draw,0,4,0
14,3900573,1,0,5,Romain Saïss,Angers,2,Angers,Miscontrol,From Kick Off,,,0.0,,,0,45.7,29.1,5,0,0,draw,0,4,0
15,3900573,1,0,7,Charles Diers,Angers,2,Angers,Ball Recovery,From Kick Off,,,0.0,,,0,49.2,27.2,7,0,0,draw,0,6,0
16,3900573,1,0,7,Charles Diers,Angers,2,Angers,Carry,From Kick Off,,,2.026696,,,0,49.2,27.2,7,0,0,draw,0,6,0
17,3900573,1,0,9,Charles Diers,Angers,2,Angers,Pass,From Kick Off,,,1.380489,,,0,45.3,30.7,9,0,0,draw,0,8,0
19,3900573,1,0,10,Ismaël Traoré,Angers,2,Angers,Carry,From Kick Off,,,0.595688,,,0,29.8,44.9,10,0,0,draw,0,9,0
20,3900573,1,0,11,Ismaël Traoré,Angers,2,Angers,Pass,From Kick Off,,,1.583271,,,0,30.3,47.0,11,0,0,draw,0,10,0
22,3900573,1,0,13,Gaël Angoula,Angers,2,Angers,Carry,From Kick Off,,,0.715622,,,0,33.5,64.2,13,0,0,draw,0,12,0
23,3900573,1,0,13,Gaël Angoula,Angers,2,Angers,Pass,From Kick Off,,,1.652936,,,0,36.6,73.7,13,0,0,draw,0,12,0
24,3900573,1,0,15,Chaker Alhadhur,Caen,2,Angers,Pressure,From Kick Off,,,1.973856,,,0,64.6,6.6,15,0,0,draw,0,14,0
26,3900573,1,0,15,Gilles Sunu,Angers,2,Angers,Carry,From Kick Off,,,1.75696,,,0,53.4,74.3,15,0,0,draw,0,14,0
27,3900573,1,0,17,Gilles Sunu,Angers,2,Angers,Pass,From Kick Off,,,0.149297,Incomplete,,0,54.5,77.2,17,0,0,draw,0,16,0
29,3900573,1,0,17,Chaker Alhadhur,Caen,2,Angers,Block,From Kick Off,,,0.0,,,0,63.5,2.9,17,0,0,draw,0,16,0
