index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900633,1,0,1,Jacques Zoua Daogari,Gazélec Ajaccio,2,Gazélec Ajaccio,Pass,From Kick Off,,,0.793731,,,0,61.0,40.1,1,0,0,draw,0,0,0
7,3900633,1,0,1,Khalid Boutaïb,Gazélec Ajaccio,2,Gazélec Ajaccio,Carry,From Kick Off,,,0.04,,,0,61.6,45.1,1,0,0,draw,0,0,0
8,3900633,1,0,1,Khalid Boutaïb,Gazélec Ajaccio,2,Gazélec Ajaccio,Pass,From Kick Off,,,2.5071,,,0,62.1,45.1,1,0,0,draw,0,0,0
10,3900633,1,0,4,Jérémie Bréchet,Gazélec Ajaccio,2,Gazélec Ajaccio,Carry,From Kick Off,,,1.843233,,,0,27.8,32.3,4,0,0,draw,0,3,0
11,3900633,1,0,6,Jérémie Bréchet,Gazélec Ajaccio,2,Gazélec Ajaccio,Pass,From Kick Off,,,2.925819,Incomplete,,0,32.1,28.8,6,0,0,draw,0,5,0
13,3900633,1,0,9,Khalid Boutaïb,Gazélec Ajaccio,2,Gazélec Ajaccio,Duel,From Kick Off,Aerial Lost,,0.0,,,0,93.7,37.8,9,0,0,draw,0,8,0
14,3900633,1,0,9,Johan Martial,Troyes,2,Gazélec Ajaccio,Clearance,From Kick Off,,,0.0,,,0,26.4,42.3,9,0,0,draw,0,8,0
15,3900633,1,0,9,Khalid Boutaïb,Gazélec Ajaccio,2,Gazélec Ajaccio,Block,From Kick Off,,,0.0,,,0,93.9,37.8,9,0,0,draw,0,8,0
16,3900633,1,0,9,Khalid Boutaïb,Gazélec Ajaccio,2,Gazélec Ajaccio,Block,From Kick Off,,,0.0,,,0,93.9,37.8,9,0,0,draw,0,8,0
17,3900633,1,0,10,Jacques Zoua Daogari,Gazélec Ajaccio,2,Gazélec Ajaccio,Ball Recovery,From Kick Off,,,0.0,,,0,105.5,43.6,10,0,0,draw,0,9,0
18,3900633,1,0,11,Calvin Anele Ngcongca,Troyes,2,Gazélec Ajaccio,Clearance,From Kick Off,,,0.0,,,0,12.3,36.3,11,0,0,draw,0,10,0
