index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3829514,1,0,1,Younousse Sankharé,Guingamp,2,Guingamp,Pass,From Kick Off,,,0.562618,,,0,61.0,40.1,1,0,0,draw,0,0,0
7,3829514,1,0,1,Jimmy Briand,Guingamp,2,Guingamp,Pass,From Kick Off,,,1.306985,,,0,62.6,42.7,1,0,0,draw,0,0,0
9,3829514,1,0,3,Lionel Mathis,Guingamp,2,Guingamp,Carry,From Kick Off,,,0.974701,,,0,52.8,42.3,3,0,0,draw,0,2,0
10,3829514,1,0,4,Lionel Mathis,Guingamp,2,Guingamp,Pass,From Kick Off,,,1.471074,,,0,53.8,44.7,4,0,0,draw,0,3,0
12,3829514,1,0,5,Brou Benjamin Angoua,Guingamp,2,Guingamp,Carry,From Kick Off,,,1.974124,,,0,36.4,61.7,5,0,0,draw,0,4,0
13,3829514,1,0,6,Gilles Sunu,Angers,2,Guingamp,Pressure,From Kick Off,,,0.924375,,,0,83.3,21.7,6,0,0,draw,0,5,0
14,3829514,1,0,7,Brou Benjamin Angoua,Guingamp,2,Guingamp,Pass,From Kick Off,,,1.995877,Incomplete,,0,38.1,63.1,7,0,0,draw,0,6,0
16,3829514,1,0,9,Romain Saïss,Angers,2,Guingamp,Pass,From Kick Off,,,1.31808,,,0,48.0,16.8,9,0,0,draw,0,8,0
17,3829514,1,0,10,Brou Benjamin Angoua,Guingamp,2,Guingamp,Pressure,From Kick Off,,,0.119999,,,0,47.2,65.7,10,0,0,draw,0,9,0
19,3829514,1,0,10,Gilles Sunu,Angers,2,Guingamp,Carry,From Kick Off,,,0.04,,,0,69.6,14.8,10,0,0,draw,0,9,0
20,3829514,1,0,10,Gilles Sunu,Angers,2,Guingamp,Miscontrol,From Kick Off,,,0.0,,,0,69.8,13.5,10,0,0,draw,0,9,0
21,3829514,1,0,12,Romain Saïss,Angers,2,Guingamp,Pressure,From Kick Off,,,0.495119,,,0,49.8,17.8,12,0,0,draw,0,11,0
22,3829514,1,0,12,Jimmy Briand,Guingamp,2,Guingamp,Ball Recovery,From Kick Off,,,0.0,,,0,68.3,61.5,12,0,0,draw,0,11,0
23,3829514,1,0,12,Jimmy Briand,Guingamp,2,Guingamp,Carry,From Kick Off,,,1.587448,,,0,68.3,61.5,12,0,0,draw,0,11,0
24,3829514,1,0,13,Jimmy Briand,Guingamp,2,Guingamp,Pass,From Kick Off,,,1.116497,,,0,70.3,66.1,13,0,0,draw,0,12,0
25,3829514,1,0,14,Yoann Andreu,Angers,2,Guingamp,Pressure,From Kick Off,,,0.454972,,,0,44.3,4.2,14,0,0,draw,0,13,0
27,3829514,1,0,15,Yannis Salibur,Guingamp,2,Guingamp,Carry,From Kick Off,,,0.126258,,,0,72.6,75.5,15,0,0,draw,0,14,0
28,3829514,1,0,15,Yannis Salibur,Guingamp,2,Guingamp,Pass,From Kick Off,,,1.619602,,,0,71.1,75.9,15,0,0,draw,0,14,0
29,3829514,1,0,16,Romain Saïss,Angers,2,Guingamp,Pressure,From Kick Off,,,0.602269,,,0,39.0,6.6,16,0,0,draw,0,15,0
