index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900628,1,0,0,Benjamin André,Rennes,2,Rennes,Pass,From Kick Off,,,0.658146,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3900628,1,0,1,Paul-Georges Ntep de Madiba,Rennes,2,Rennes,Carry,From Kick Off,,,1.132136,,,0,59.9,43.2,1,0,0,draw,0,1,0
8,3900628,1,0,2,Paul-Georges Ntep de Madiba,Rennes,2,Rennes,Pass,From Kick Off,,,1.759263,,,0,55.2,41.2,2,0,0,draw,0,2,0
10,3900628,1,0,4,Sylvain Armand,Rennes,2,Rennes,Carry,From Kick Off,,,1.076211,,,0,28.3,44.2,4,0,0,draw,0,4,0
11,3900628,1,0,5,Sylvain Armand,Rennes,2,Rennes,Pass,From Kick Off,,,1.332364,,,0,27.2,47.7,5,0,0,draw,0,5,0
13,3900628,1,0,6,Edson André Sitoe,Rennes,2,Rennes,Carry,From Kick Off,,,1.394726,,,0,26.8,62.6,6,0,0,draw,0,6,0
14,3900628,1,0,7,Edson André Sitoe,Rennes,2,Rennes,Pass,From Kick Off,,,1.616195,,,0,27.4,61.6,7,0,0,draw,0,7,0
16,3900628,1,0,9,Pedro Filipe Teodósio Mendes,Rennes,2,Rennes,Carry,From Kick Off,,,1.004104,,,0,36.6,37.0,9,0,0,draw,0,9,0
17,3900628,1,0,10,Pedro Filipe Teodósio Mendes,Rennes,2,Rennes,Pass,From Kick Off,,,1.520939,,,0,36.2,35.0,10,0,0,draw,0,10,0
19,3900628,1,0,12,Cheikh M''Bengue,Rennes,2,Rennes,Carry,From Kick Off,,,0.933935,,,0,32.8,14.3,12,0,0,draw,0,12,0
20,3900628,1,0,12,Cheikh M''Bengue,Rennes,2,Rennes,Pass,From Kick Off,,,1.339804,,,0,32.6,10.4,12,0,0,draw,0,12,0
22,3900628,1,0,14,Ousmane Dembélé,Rennes,2,Rennes,Carry,From Kick Off,,,1.114173,,,0,50.1,14.3,14,0,0,draw,0,14,0
23,3900628,1,0,14,Rio Antonio Zoba Mavuba,Lille,2,Rennes,Pressure,From Kick Off,,,0.46351,,,0,70.9,61.5,14,0,0,draw,0,14,0
25,3900628,1,0,15,Ousmane Dembélé,Rennes,2,Rennes,Dribble,From Kick Off,,,0.0,,,0,51.6,19.2,15,0,0,draw,0,15,0
26,3900628,1,0,15,Ousmane Dembélé,Rennes,2,Rennes,Carry,From Kick Off,,,0.719414,,,0,51.6,19.2,15,0,0,draw,0,15,0
27,3900628,1,0,16,Ousmane Dembélé,Rennes,2,Rennes,Pass,From Kick Off,,,0.275562,Incomplete,,0,51.4,21.8,16,0,0,draw,0,16,0
29,3900628,1,0,16,Mounir Obbadi,Lille,2,Rennes,Interception,From Kick Off,,,0.0,,,0,69.2,54.5,16,0,0,draw,0,16,0
30,3900628,1,0,18,Sofiane Boufal,Lille,3,Lille,Pass,Regular Play,,,1.333875,,,0,71.3,61.1,18,0,0,draw,0,18,0
32,3900628,1,0,19,Sébastien Corchia,Lille,3,Lille,Carry,Regular Play,,,2.836137,,,0,62.5,66.2,19,0,0,draw,0,19,0
33,3900628,1,0,22,Sébastien Corchia,Lille,3,Lille,Pass,Regular Play,,,0.857665,,,0,76.9,66.7,22,0,0,draw,0,22,0
34,3900628,1,0,23,Sylvain Armand,Rennes,3,Lille,Pressure,Regular Play,,,0.511051,,,0,23.4,21.8,23,0,0,draw,0,23,0
36,3900628,1,0,23,Éderzito António Macedo Lopes,Lille,3,Lille,Carry,Regular Play,,,0.676142,,,0,95.2,60.0,23,0,0,draw,0,23,0
37,3900628,1,0,23,Pedro Filipe Teodósio Mendes,Rennes,3,Lille,Pressure,Regular Play,,,0.640973,,,0,26.6,18.8,23,0,0,draw,0,23,0
38,3900628,1,0,24,Éderzito António Macedo Lopes,Lille,3,Lille,Pass,Regular Play,,,0.847147,,,0,96.3,66.5,24,0,0,draw,0,24,0
40,3900628,1,0,24,Sofiane Boufal,Lille,3,Lille,Carry,Regular Play,,,3.118557,,,0,91.0,75.0,24,0,0,draw,0,24,0
41,3900628,1,0,25,Benjamin André,Rennes,3,Lille,Pressure,Regular Play,,,0.717007,,,0,29.6,8.3,25,0,0,draw,0,25,0
42,3900628,1,0,28,Sofiane Boufal,Lille,3,Lille,Pass,Regular Play,,,1.144666,Incomplete,,0,111.7,72.4,28,0,0,draw,0,28,0
44,3900628,1,0,29,Edson André Sitoe,Rennes,4,Rennes,Pass,Regular Play,,,1.514131,,,0,6.5,36.1,29,0,0,draw,0,29,0
46,3900628,1,0,30,Cheikh M''Bengue,Rennes,4,Rennes,Carry,Regular Play,,,0.902067,,,0,4.7,12.6,30,0,0,draw,0,30,0
47,3900628,1,0,31,Cheikh M''Bengue,Rennes,4,Rennes,Pass,Regular Play,,,1.169853,,,0,6.0,12.6,31,0,0,draw,0,31,0
48,3900628,1,0,32,Rio Antonio Zoba Mavuba,Lille,4,Rennes,Pressure,Regular Play,,,0.45711,,,0,97.2,69.9,32,0,0,draw,0,32,0
50,3900628,1,0,32,Benjamin André,Rennes,4,Rennes,Carry,Regular Play,,,0.949604,,,0,19.3,6.2,32,0,0,draw,0,32,0
51,3900628,1,0,33,Benjamin André,Rennes,4,Rennes,Pass,Regular Play,,,1.016419,,,0,21.2,5.9,33,0,0,draw,0,33,0
53,3900628,1,0,34,Pedro Filipe Teodósio Mendes,Rennes,4,Rennes,Carry,Regular Play,,,1.137391,,,0,21.9,19.2,34,0,0,draw,0,34,0
54,3900628,1,0,35,Rio Antonio Zoba Mavuba,Lille,4,Rennes,Pressure,Regular Play,,,0.471566,,,0,94.4,62.2,35,0,0,draw,0,35,0
55,3900628,1,0,35,Pedro Filipe Teodósio Mendes,Rennes,4,Rennes,Pass,Regular Play,,,1.165116,,,0,25.9,26.0,35,0,0,draw,0,35,0
57,3900628,1,0,37,Paul-Georges Ntep de Madiba,Rennes,4,Rennes,Carry,Regular Play,,,0.352507,,,0,49.0,27.1,37,0,0,draw,0,37,0
58,3900628,1,0,37,Paul-Georges Ntep de Madiba,Rennes,4,Rennes,Dribble,Regular Play,,,0.0,,,0,52.9,27.5,37,0,0,draw,0,37,0
59,3900628,1,0,37,Bakary Adama Soumaoro,Lille,5,Lille,Duel,Regular Play,Tackle,Won,0.0,,,0,67.2,52.6,37,0,0,draw,0,37,0
60,3900628,1,0,37,Bakary Adama Soumaoro,Lille,5,Lille,Carry,Regular Play,,,1.859266,,,0,67.2,52.6,37,0,0,draw,0,37,0
61,3900628,1,0,38,Paul-Georges Ntep de Madiba,Rennes,5,Lille,Pressure,Regular Play,,,0.504576,,,0,53.5,25.0,38,0,0,draw,0,38,0
62,3900628,1,0,39,Bakary Adama Soumaoro,Lille,5,Lille,Pass,Regular Play,,,0.298906,,,0,58.9,56.4,39,0,0,draw,0,39,0
64,3900628,1,0,39,Renato Civelli,Lille,5,Lille,Pass,Regular Play,,,0.591905,,,0,52.0,54.9,39,0,0,draw,0,39,0
66,3900628,1,0,40,Bakary Adama Soumaoro,Lille,5,Lille,Carry,Regular Play,,,1.314014,,,0,48.8,52.3,40,0,0,draw,0,40,0
67,3900628,1,0,41,Bakary Adama Soumaoro,Lille,5,Lille,Pass,Regular Play,,,2.345717,,,0,46.7,55.5,41,0,0,draw,0,41,0
69,3900628,1,0,43,Vincent Enyeama,Lille,5,Lille,Carry,Regular Play,,,2.019579,,,0,14.0,42.3,43,0,0,draw,0,43,0
70,3900628,1,0,45,Vincent Enyeama,Lille,5,Lille,Pass,Regular Play,,,2.331094,,,0,12.0,37.8,45,0,0,draw,0,45,0
72,3900628,1,0,48,Bakary Adama Soumaoro,Lille,5,Lille,Carry,Regular Play,,,0.238281,,,0,29.8,35.4,48,0,0,draw,0,48,0
73,3900628,1,0,48,Bakary Adama Soumaoro,Lille,5,Lille,Pass,Regular Play,,,1.32687,,,0,26.8,38.2,48,0,0,draw,0,48,0
75,3900628,1,0,49,Ibrahim Amadou,Lille,5,Lille,Carry,Regular Play,,,2.011034,,,0,36.2,33.9,49,0,0,draw,0,49,0
76,3900628,1,0,51,Ibrahim Amadou,Lille,5,Lille,Pass,Regular Play,,,1.722682,,,0,44.6,35.9,51,0,0,draw,0,51,0
78,3900628,1,0,53,Djibril Sidibé,Lille,5,Lille,Carry,Regular Play,,,2.02787,,,0,51.0,23.2,53,0,0,draw,0,53,0
79,3900628,1,0,55,Djibril Sidibé,Lille,5,Lille,Pass,Regular Play,,,0.732717,,,0,44.1,7.8,55,0,0,draw,0,55,0
81,3900628,1,0,56,Ibrahim Amadou,Lille,5,Lille,Carry,Regular Play,,,4.41752,,,0,42.6,22.4,56,0,0,draw,0,56,0
82,3900628,1,1,0,Ibrahim Amadou,Lille,5,Lille,Pass,Regular Play,,,0.974352,,,0,56.5,23.7,60,0,0,draw,0,60,0
84,3900628,1,1,1,Mounir Obbadi,Lille,5,Lille,Carry,Regular Play,,,1.276143,,,0,72.8,15.3,61,0,0,draw,0,61,0
85,3900628,1,1,2,Mounir Obbadi,Lille,5,Lille,Pass,Regular Play,,,1.033325,,,0,73.6,13.2,62,0,0,draw,0,62,0
87,3900628,1,1,3,Éric Bauthéac,Lille,5,Lille,Carry,Regular Play,,,0.002366,,,0,71.7,3.6,63,0,0,draw,0,63,0
88,3900628,1,1,3,Éric Bauthéac,Lille,5,Lille,Pass,Regular Play,,,1.781614,,,0,71.7,3.6,63,0,0,draw,0,63,0
90,3900628,1,1,5,Djibril Sidibé,Lille,5,Lille,Carry,Regular Play,,,0.412666,,,0,57.4,3.4,65,0,0,draw,0,65,0
91,3900628,1,1,6,Djibril Sidibé,Lille,5,Lille,Pass,Regular Play,,,1.099832,,,0,57.4,3.6,66,0,0,draw,0,66,0
93,3900628,1,1,7,Ibrahim Amadou,Lille,5,Lille,Carry,Regular Play,,,4.579894,,,0,56.3,18.1,67,0,0,draw,0,67,0
94,3900628,1,1,11,Ibrahim Amadou,Lille,5,Lille,Pass,Regular Play,,,1.309785,,,0,72.8,19.4,71,0,0,draw,0,71,0
96,3900628,1,1,13,Djibril Sidibé,Lille,5,Lille,Carry,Regular Play,,,0.043235,,,0,72.6,3.1,73,0,0,draw,0,73,0
97,3900628,1,1,13,Djibril Sidibé,Lille,5,Lille,Pass,Regular Play,,,1.256752,,,0,72.6,3.1,73,0,0,draw,0,73,0
99,3900628,1,1,14,Éric Bauthéac,Lille,5,Lille,Carry,Regular Play,,,0.953189,,,0,91.6,13.0,74,0,0,draw,0,74,0
100,3900628,1,1,15,Éric Bauthéac,Lille,5,Lille,Pass,Regular Play,,,0.577437,,,0,91.8,11.5,75,0,0,draw,0,75,0
102,3900628,1,1,15,Mounir Obbadi,Lille,5,Lille,Carry,Regular Play,,,0.345514,,,0,86.9,5.3,75,0,0,draw,0,75,0
