index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3829422,1,0,0,Alexandre Lacazette,Lyon,2,Lyon,Pass,From Kick Off,,,0.912861,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3829422,1,0,1,Nabil Fekir,Lyon,2,Lyon,Carry,From Kick Off,,,0.788651,,,0,51.2,39.4,1,0,0,draw,0,1,0
8,3829422,1,0,1,Benjamin Jeannot,Lorient,2,Lyon,Pressure,From Kick Off,,,0.464654,,,0,66.4,43.6,1,0,0,draw,0,1,0
9,3829422,1,0,2,Nabil Fekir,Lyon,2,Lyon,Pass,From Kick Off,,,2.130728,,,0,52.6,36.5,2,0,0,draw,0,2,0
11,3829422,1,0,4,Henri Bedimo Nsamè,Lyon,2,Lyon,Carry,From Kick Off,,,0.992405,,,0,63.5,4.3,4,0,0,draw,0,4,0
12,3829422,1,0,5,Henri Bedimo Nsamè,Lyon,2,Lyon,Pass,From Kick Off,,,1.023397,,,0,62.1,3.1,5,0,0,draw,0,5,0
14,3829422,1,0,6,Jordan Ferri,Lyon,2,Lyon,Carry,From Kick Off,,,1.13661,,,0,52.7,9.0,6,0,0,draw,0,6,0
15,3829422,1,0,7,Jordan Ferri,Lyon,2,Lyon,Pass,From Kick Off,,,0.870616,,,0,48.6,11.5,7,0,0,draw,0,7,0
17,3829422,1,0,8,Corentin Tolisso,Lyon,2,Lyon,Carry,From Kick Off,,,1.545984,,,0,46.9,28.7,8,0,0,draw,0,8,0
18,3829422,1,0,9,Corentin Tolisso,Lyon,2,Lyon,Pass,From Kick Off,,,2.106047,,,0,46.9,28.7,9,0,0,draw,0,9,0
20,3829422,1,0,11,Milan Biševac,Lyon,2,Lyon,Carry,From Kick Off,,,1.696337,,,0,42.6,53.7,11,0,0,draw,0,11,0
21,3829422,1,0,13,Milan Biševac,Lyon,2,Lyon,Pass,From Kick Off,,,1.43275,,,0,42.6,55.5,13,0,0,draw,0,13,0
23,3829422,1,0,15,Rafael Pereira da Silva,Lyon,2,Lyon,Carry,From Kick Off,,,1.730349,,,0,53.1,70.9,15,0,0,draw,0,15,0
24,3829422,1,0,16,Rafael Pereira da Silva,Lyon,2,Lyon,Pass,From Kick Off,,,1.8388,,,0,49.2,66.8,16,0,0,draw,0,16,0
26,3829422,1,0,18,Milan Biševac,Lyon,2,Lyon,Carry,From Kick Off,,,4.015391,,,0,32.0,57.6,18,0,0,draw,0,18,0
27,3829422,1,0,22,Milan Biševac,Lyon,2,Lyon,Pass,From Kick Off,,,2.049525,,,0,47.5,59.8,22,0,0,draw,0,22,0
