index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900520,1,0,0,Rodrigue Casimir Ninga,Montpellier,2,Montpellier,Pass,From Kick Off,,,0.291484,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3900520,1,0,1,Ryad Boudebouz,Montpellier,2,Montpellier,Pass,From Kick Off,,,2.942923,,,0,61.2,40.0,1,0,0,draw,0,1,0
9,3900520,1,0,4,Bryan Dabo,Montpellier,2,Montpellier,Carry,From Kick Off,,,1.284973,,,0,63.1,78.7,4,0,0,draw,0,4,0
10,3900520,1,0,5,Bryan Dabo,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.386851,,,0,63.1,78.7,5,0,0,draw,0,5,0
12,3900520,1,0,6,Mathieu Deplagne,Montpellier,2,Montpellier,Carry,From Kick Off,,,0.766289,,,0,47.7,78.0,6,0,0,draw,0,6,0
13,3900520,1,0,7,Mathieu Deplagne,Montpellier,2,Montpellier,Pass,From Kick Off,,,2.924282,,,0,47.7,78.0,7,0,0,draw,0,7,0
15,3900520,1,0,10,Vitorino Hilton da Silva,Montpellier,2,Montpellier,Carry,From Kick Off,,,1.358264,,,0,27.0,56.2,10,0,0,draw,0,10,0
16,3900520,1,0,11,Vitorino Hilton da Silva,Montpellier,2,Montpellier,Pass,From Kick Off,,,2.73223,,,0,29.3,57.1,11,0,0,draw,0,11,0
17,3900520,1,0,14,Jérémy Morel,Lyon,2,Montpellier,Pressure,From Kick Off,,,3.179272,,,0,47.3,16.4,14,0,0,draw,0,14,0
19,3900520,1,0,14,Bryan Dabo,Montpellier,2,Montpellier,Carry,From Kick Off,,,2.878333,,,0,70.8,63.7,14,0,0,draw,0,14,0
20,3900520,1,0,17,Bryan Dabo,Montpellier,2,Montpellier,Pass,From Kick Off,,,0.239264,Incomplete,,0,71.5,78.2,17,0,0,draw,0,17,0
22,3900520,1,0,17,Sergi Darder Moll,Lyon,3,Lyon,Interception,Regular Play,,,0.0,,,0,55.2,1.2,17,0,0,draw,0,17,0
23,3900520,1,0,17,Sergi Darder Moll,Lyon,3,Lyon,Carry,Regular Play,,,0.961462,,,0,55.2,1.2,17,0,0,draw,0,17,0
24,3900520,1,0,18,Sergi Darder Moll,Lyon,3,Lyon,Pass,Regular Play,,,1.493066,,,0,54.6,1.4,18,0,0,draw,0,18,0
26,3900520,1,0,20,Jérémy Morel,Lyon,3,Lyon,Carry,Regular Play,,,0.605708,,,0,42.2,6.4,20,0,0,draw,0,20,0
27,3900520,1,0,20,Jérémy Morel,Lyon,3,Lyon,Pass,Regular Play,,,0.895723,,,0,42.4,6.6,20,0,0,draw,0,20,0
29,3900520,1,0,21,Maxime Gonalons,Lyon,3,Lyon,Carry,Regular Play,,,3.117293,,,0,31.1,13.6,21,0,0,draw,0,21,0
30,3900520,1,0,24,Maxime Gonalons,Lyon,3,Lyon,Pass,Regular Play,,,2.567213,,,0,23.4,19.2,24,0,0,draw,0,24,0
32,3900520,1,0,27,Milan Biševac,Lyon,3,Lyon,Carry,Regular Play,,,1.561746,,,0,29.8,55.3,27,0,0,draw,0,27,0
33,3900520,1,0,28,Milan Biševac,Lyon,3,Lyon,Pass,Regular Play,,,1.253018,,,0,33.9,56.4,28,0,0,draw,0,28,0
35,3900520,1,0,30,Rafael Pereira da Silva,Lyon,3,Lyon,Pass,Regular Play,,,1.244,,,0,48.8,73.1,30,0,0,draw,0,30,0
36,3900520,1,0,30,Ramy Bensebaini,Montpellier,3,Lyon,Pressure,Regular Play,,,2.390068,,,0,55.4,12.8,30,0,0,draw,0,30,0
38,3900520,1,0,31,Jordan Ferri,Lyon,3,Lyon,Carry,Regular Play,,,2.094917,,,0,62.9,67.5,31,0,0,draw,0,31,0
39,3900520,1,0,33,Ramy Bensebaini,Montpellier,3,Lyon,Foul Committed,Regular Play,,,0.0,,,0,64.9,6.4,33,0,0,draw,0,33,0
40,3900520,1,0,33,Jordan Ferri,Lyon,3,Lyon,Foul Won,Regular Play,,,0.0,,,0,55.2,73.7,33,0,0,draw,0,33,0
41,3900520,1,0,56,Rafael Pereira da Silva,Lyon,4,Lyon,Pass,From Free Kick,,,0.732,,,0,55.9,74.4,56,0,0,draw,0,56,0
42,3900520,1,0,56,Jonas Martin,Montpellier,4,Lyon,Pressure,From Free Kick,,,0.410079,,,0,56.1,18.8,56,0,0,draw,0,56,0
44,3900520,1,0,57,Jordan Ferri,Lyon,4,Lyon,Pass,From Free Kick,,,0.840329,,,0,62.3,63.2,57,0,0,draw,0,57,0
46,3900520,1,0,57,Rafael Pereira da Silva,Lyon,4,Lyon,Carry,From Free Kick,,,0.719516,,,0,55.2,68.8,57,0,0,draw,0,57,0
47,3900520,1,0,58,Rafael Pereira da Silva,Lyon,4,Lyon,Pass,From Free Kick,,,2.171841,,,0,55.0,68.0,58,0,0,draw,0,58,0
49,3900520,1,1,0,Maxime Gonalons,Lyon,4,Lyon,Carry,From Free Kick,,,1.527163,,,0,40.7,30.1,60,0,0,draw,0,60,0
50,3900520,1,1,2,Maxime Gonalons,Lyon,4,Lyon,Pass,From Free Kick,,,1.063845,,,0,44.1,28.4,62,0,0,draw,0,62,0
52,3900520,1,1,3,Jérémy Morel,Lyon,4,Lyon,Carry,From Free Kick,,,1.018556,,,0,48.8,11.1,63,0,0,draw,0,63,0
53,3900520,1,1,4,Jérémy Morel,Lyon,4,Lyon,Pass,From Free Kick,,,0.931533,,,0,48.8,11.1,64,0,0,draw,0,64,0
55,3900520,1,1,5,Corentin Tolisso,Lyon,4,Lyon,Carry,From Free Kick,,,2.423776,,,0,57.4,27.5,65,0,0,draw,0,65,0
56,3900520,1,1,7,Corentin Tolisso,Lyon,4,Lyon,Pass,From Free Kick,,,1.000763,,,0,76.9,21.5,67,0,0,draw,0,67,0
58,3900520,1,1,8,Claudio Beauvue,Lyon,4,Lyon,Carry,From Free Kick,,,0.004336,,,0,85.0,31.8,68,0,0,draw,0,68,0
59,3900520,1,1,8,Claudio Beauvue,Lyon,4,Lyon,Miscontrol,From Free Kick,,,0.0,,,0,85.0,31.8,68,0,0,draw,0,68,0
60,3900520,1,1,9,Ramy Bensebaini,Montpellier,4,Lyon,Clearance,From Free Kick,,,0.0,,,0,29.1,37.0,69,0,0,draw,0,69,0
