index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3901227,1,0,0,Yacine Bammou,Nantes,2,Nantes,Pass,From Kick Off,,,0.230708,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3901227,1,0,1,Emiliano Sala,Nantes,2,Nantes,Carry,From Kick Off,,,0.900835,,,0,59.5,39.6,1,0,0,draw,0,1,0
8,3901227,1,0,2,Emiliano Sala,Nantes,2,Nantes,Pass,From Kick Off,,,2.378546,Incomplete,,0,61.1,38.9,2,0,0,draw,0,2,0
10,3901227,1,0,4,Benjamin Mendy,Marseille,3,Marseille,Pass,Regular Play,,,2.671559,,,0,26.5,20.6,4,0,0,draw,0,4,0
12,3901227,1,0,7,Steve Mandanda,Marseille,3,Marseille,Carry,Regular Play,,,6.588748,,,0,2.4,24.2,7,0,0,draw,0,7,0
13,3901227,1,0,13,Steve Mandanda,Marseille,3,Marseille,Pass,Regular Play,,,2.250173,,,0,9.1,42.8,13,0,0,draw,0,13,0
15,3901227,1,0,15,Nicolas Alexis Julio N'Koulou Ndoubena,Marseille,3,Marseille,Carry,Regular Play,,,1.476155,,,0,21.9,58.8,15,0,0,draw,0,15,0
16,3901227,1,0,17,Nicolas Alexis Julio N'Koulou Ndoubena,Marseille,3,Marseille,Pass,Regular Play,,,1.303248,,,0,27.9,63.1,17,0,0,draw,0,17,0
18,3901227,1,0,18,Javier Manquillo Gaitán,Marseille,3,Marseille,Carry,Regular Play,,,1.042924,,,0,38.2,75.7,18,0,0,draw,0,18,0
19,3901227,1,0,19,Javier Manquillo Gaitán,Marseille,3,Marseille,Pass,Regular Play,,,0.555273,,,0,38.1,76.1,19,0,0,draw,0,19,0
21,3901227,1,0,20,Jacques-Alaixys Romao,Marseille,3,Marseille,Carry,Regular Play,,,1.900987,,,0,51.6,71.4,20,0,0,draw,0,20,0
22,3901227,1,0,22,Jacques-Alaixys Romao,Marseille,3,Marseille,Pass,Regular Play,,,1.06728,,,0,39.4,66.7,22,0,0,draw,0,22,0
24,3901227,1,0,23,Nicolas Alexis Julio N'Koulou Ndoubena,Marseille,3,Marseille,Carry,Regular Play,,,1.599464,,,0,30.6,56.6,23,0,0,draw,0,23,0
25,3901227,1,0,24,Nicolas Alexis Julio N'Koulou Ndoubena,Marseille,3,Marseille,Pass,Regular Play,,,2.184627,,,0,34.0,59.9,24,0,0,draw,0,24,0
27,3901227,1,0,27,Karim Rekik,Marseille,3,Marseille,Carry,Regular Play,,,1.696167,,,0,31.3,32.5,27,0,0,draw,0,27,0
28,3901227,1,0,28,Karim Rekik,Marseille,3,Marseille,Pass,Regular Play,,,0.639909,,,0,31.5,32.2,28,0,0,draw,0,28,0
30,3901227,1,0,29,Vassiriki Abou Diaby,Marseille,3,Marseille,Carry,Regular Play,,,0.18997501,,,0,42.3,34.1,29,0,0,draw,0,29,0
31,3901227,1,0,29,Vassiriki Abou Diaby,Marseille,3,Marseille,Pass,Regular Play,,,1.277326,,,0,42.5,34.5,29,0,0,draw,0,29,0
33,3901227,1,0,30,Nicolas Alexis Julio N'Koulou Ndoubena,Marseille,3,Marseille,Carry,Regular Play,,,2.033924,,,0,32.2,56.7,30,0,0,draw,0,30,0
34,3901227,1,0,32,Nicolas Alexis Julio N'Koulou Ndoubena,Marseille,3,Marseille,Pass,Regular Play,,,2.069999,,,0,32.0,56.3,32,0,0,draw,0,32,0
