index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900560,1,0,0,Rodrigue Casimir Ninga,Montpellier,2,Montpellier,Pass,From Kick Off,,,0.443098,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3900560,1,0,1,Ryad Boudebouz,Montpellier,2,Montpellier,Carry,From Kick Off,,,1.598399,,,0,59.1,39.9,1,0,0,draw,0,1,0
8,3900560,1,0,2,Vincent Koziello,OGC Nice,2,Montpellier,Pressure,From Kick Off,,,0.395309,,,0,57.3,44.3,2,0,0,draw,0,2,0
9,3900560,1,0,2,Ryad Boudebouz,Montpellier,2,Montpellier,Pass,From Kick Off,,,0.9701,,,0,61.4,36.9,2,0,0,draw,0,2,0
11,3900560,1,0,3,Jamel Saihi,Montpellier,2,Montpellier,Carry,From Kick Off,,,0.918699,,,0,53.9,37.7,3,0,0,draw,0,3,0
12,3900560,1,0,4,Jamel Saihi,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.7311,,,0,51.1,38.3,4,0,0,draw,0,4,0
14,3900560,1,0,6,Mathieu Deplagne,Montpellier,2,Montpellier,Carry,From Kick Off,,,0.039999,,,0,51.8,68.1,6,0,0,draw,0,6,0
15,3900560,1,0,6,Mathieu Deplagne,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.842699,,,0,49.7,66.9,6,0,0,draw,0,6,0
17,3900560,1,0,8,Vitorino Hilton da Silva,Montpellier,2,Montpellier,Carry,From Kick Off,,,1.1458,,,0,31.5,56.0,8,0,0,draw,0,8,0
18,3900560,1,0,9,Vitorino Hilton da Silva,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.7838,,,0,32.6,51.9,9,0,0,draw,0,9,0
20,3900560,1,0,11,Daniel Congré,Montpellier,2,Montpellier,Carry,From Kick Off,,,1.6263,,,0,41.5,19.4,11,0,0,draw,0,11,0
21,3900560,1,0,12,Daniel Congré,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.0558,,,0,44.3,17.5,12,0,0,draw,0,12,0
23,3900560,1,0,13,Ramy Bensebaini,Montpellier,2,Montpellier,Carry,From Kick Off,,,0.759099,,,0,53.6,5.5,13,0,0,draw,0,13,0
24,3900560,1,0,14,Jérémy Pied,OGC Nice,2,Montpellier,Pressure,From Kick Off,,,0.553135,,,0,66.5,74.6,14,0,0,draw,0,14,0
25,3900560,1,0,14,Ramy Bensebaini,Montpellier,2,Montpellier,Pass,From Kick Off,,,2.568599,,,0,52.9,6.3,14,0,0,draw,0,14,0
26,3900560,1,0,17,Jérémy Pied,OGC Nice,2,Montpellier,Pressure,From Kick Off,,,0.392523,,,0,85.9,61.8,17,0,0,draw,0,17,0
28,3900560,1,0,17,Daniel Congré,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.606044,Incomplete,,0,32.8,17.2,17,0,0,draw,0,17,0
30,3900560,1,0,18,Paul Baysse,OGC Nice,2,Montpellier,Pass,From Kick Off,,,3.118743,Incomplete,,0,51.9,65.1,18,0,0,draw,0,18,0
32,3900560,1,0,21,Vincent Koziello,OGC Nice,2,Montpellier,Duel,From Kick Off,Aerial Lost,,0.0,,,0,66.5,59.9,21,0,0,draw,0,21,0
33,3900560,1,0,21,Jamel Saihi,Montpellier,2,Montpellier,Pass,From Kick Off,,,0.106159,Incomplete,,0,53.6,20.2,21,0,0,draw,0,21,0
34,3900560,1,0,22,Vincent Koziello,OGC Nice,2,Montpellier,Block,From Kick Off,,,0.0,,,0,66.5,59.9,22,0,0,draw,0,22,0
35,3900560,1,0,22,Hatem Ben Arfa,OGC Nice,2,Montpellier,Ball Recovery,From Kick Off,,,0.0,,,0,72.2,55.4,22,0,0,draw,0,22,0
36,3900560,1,0,22,Hatem Ben Arfa,OGC Nice,2,Montpellier,Carry,From Kick Off,,,0.606409,,,0,72.2,55.4,22,0,0,draw,0,22,0
37,3900560,1,0,23,Jamel Saihi,Montpellier,2,Montpellier,Pressure,From Kick Off,,,0.4699,,,0,48.7,24.9,23,0,0,draw,0,23,0
38,3900560,1,0,23,Hatem Ben Arfa,OGC Nice,2,Montpellier,Pass,From Kick Off,,,1.318105,,,0,70.4,54.6,23,0,0,draw,0,23,0
39,3900560,1,0,24,Morgan Sanson,Montpellier,2,Montpellier,Pressure,From Kick Off,,,0.6543,,,0,49.8,38.9,24,0,0,draw,0,24,0
41,3900560,1,0,24,Niklas Hult,OGC Nice,2,Montpellier,Carry,From Kick Off,,,0.896472,,,0,68.3,42.9,24,0,0,draw,0,24,0
42,3900560,1,0,25,Ryad Boudebouz,Montpellier,2,Montpellier,Pressure,From Kick Off,,,0.5028,,,0,52.3,39.7,25,0,0,draw,0,25,0
43,3900560,1,0,25,Niklas Hult,OGC Nice,2,Montpellier,Miscontrol,From Kick Off,,,0.0,,,0,68.9,41.2,25,0,0,draw,0,25,0
44,3900560,1,0,26,Ryad Boudebouz,Montpellier,2,Montpellier,Ball Recovery,From Kick Off,,,0.0,,,0,51.2,38.9,26,0,0,draw,0,26,0
45,3900560,1,0,26,Ryad Boudebouz,Montpellier,2,Montpellier,Carry,From Kick Off,,,2.5303,,,0,51.2,38.9,26,0,0,draw,0,26,0
46,3900560,1,0,27,Vincent Koziello,OGC Nice,2,Montpellier,Pressure,From Kick Off,,,1.504287,,,0,71.9,29.3,27,0,0,draw,0,27,0
47,3900560,1,0,28,Ryad Boudebouz,Montpellier,2,Montpellier,Pass,From Kick Off,,,1.166099,,,0,47.6,55.8,28,0,0,draw,0,28,0
49,3900560,1,0,29,Mathieu Deplagne,Montpellier,2,Montpellier,Carry,From Kick Off,,,1.353998,,,0,44.0,74.2,29,0,0,draw,0,29,0
50,3900560,1,0,31,Mathieu Deplagne,Montpellier,2,Montpellier,Pass,From Kick Off,,,0.562738,Incomplete,,0,44.0,74.2,31,0,0,draw,0,31,0
52,3900560,1,0,31,Niklas Hult,OGC Nice,3,OGC Nice,Interception,Regular Play,,,0.0,,,0,60.0,15.2,31,0,0,draw,0,31,0
53,3900560,1,0,31,Niklas Hult,OGC Nice,3,OGC Nice,Carry,Regular Play,,,1.096211,,,0,60.0,15.2,31,0,0,draw,0,31,0
54,3900560,1,0,32,Niklas Hult,OGC Nice,3,OGC Nice,Pass,Regular Play,,,1.283391,,,0,55.9,8.4,32,0,0,draw,0,32,0
56,3900560,1,0,34,Olivier Boscagli,OGC Nice,3,OGC Nice,Carry,Regular Play,,,0.403393,,,0,62.3,5.4,34,0,0,draw,0,34,0
57,3900560,1,0,34,Olivier Boscagli,OGC Nice,3,OGC Nice,Pass,Regular Play,,,0.980558,,,0,62.3,5.4,34,0,0,draw,0,34,0
59,3900560,1,0,35,Nampalys Mendy,OGC Nice,3,OGC Nice,Carry,Regular Play,,,0.449355,,,0,62.5,20.2,35,0,0,draw,0,35,0
60,3900560,1,0,36,Nampalys Mendy,OGC Nice,3,OGC Nice,Miscontrol,Regular Play,,,0.0,,,0,65.3,26.2,36,0,0,draw,0,36,0
61,3900560,1,0,36,William Jean Rémy,Montpellier,3,OGC Nice,Pressure,Regular Play,,,0.4947,,,0,54.8,54.1,36,0,0,draw,0,36,0
62,3900560,1,0,36,Nampalys Mendy,OGC Nice,3,OGC Nice,Pressure,Regular Play,,,0.261193,,,0,65.3,26.0,36,0,0,draw,0,36,0
63,3900560,1,0,37,Jamel Saihi,Montpellier,4,Montpellier,Ball Recovery,Regular Play,,,0.0,,,0,53.2,52.5,37,0,0,draw,0,37,0
64,3900560,1,0,37,Jamel Saihi,Montpellier,4,Montpellier,Carry,Regular Play,,,2.7521,,,0,53.2,52.5,37,0,0,draw,0,37,0
65,3900560,1,0,39,Jamel Saihi,Montpellier,4,Montpellier,Pass,Regular Play,,,0.729,,,0,55.9,62.5,39,0,0,draw,0,39,0
67,3900560,1,0,40,Ryad Boudebouz,Montpellier,4,Montpellier,Carry,Regular Play,,,1.9445,,,0,58.4,72.0,40,0,0,draw,0,40,0
68,3900560,1,0,41,Niklas Hult,OGC Nice,4,Montpellier,Pressure,Regular Play,,,0.842363,,,0,62.0,8.5,41,0,0,draw,0,41,0
69,3900560,1,0,42,Olivier Boscagli,OGC Nice,4,Montpellier,Pressure,Regular Play,,,0.524269,,,0,56.5,9.8,42,0,0,draw,0,42,0
70,3900560,1,0,42,Ryad Boudebouz,Montpellier,4,Montpellier,Pass,Regular Play,,,1.3757,,,0,67.3,71.4,42,0,0,draw,0,42,0
71,3900560,1,0,43,Nampalys Mendy,OGC Nice,4,Montpellier,Pressure,Regular Play,,,1.736558,,,0,48.3,19.0,43,0,0,draw,0,43,0
73,3900560,1,0,43,Morgan Sanson,Montpellier,4,Montpellier,Carry,Regular Play,,,0.5586,,,0,68.9,66.0,43,0,0,draw,0,43,0
74,3900560,1,0,44,Morgan Sanson,Montpellier,4,Montpellier,Miscontrol,Regular Play,,,0.0,,,0,84.5,73.1,44,0,0,draw,0,44,0
75,3900560,1,0,45,Morgan Sanson,Montpellier,4,Montpellier,Pressure,Regular Play,,,0.5034,,,0,88.4,74.7,45,0,0,draw,0,45,0
76,3900560,1,0,46,Maxime Le Marchand,OGC Nice,4,Montpellier,Clearance,Regular Play,,,0.0,,,0,31.7,5.4,46,0,0,draw,0,46,0
77,3900560,1,0,57,Mathieu Deplagne,Montpellier,5,Montpellier,Pass,From Throw In,,,0.9058,,,0,87.0,80.0,57,0,0,draw,0,57,0
78,3900560,1,0,58,Olivier Boscagli,OGC Nice,5,Montpellier,Pressure,From Throw In,,,2.647506,,,0,22.8,11.8,58,0,0,draw,0,58,0
80,3900560,1,0,58,Ryad Boudebouz,Montpellier,5,Montpellier,Carry,From Throw In,,,2.597386,,,0,97.3,68.3,58,0,0,draw,0,58,0
81,3900560,1,1,1,Ryad Boudebouz,Montpellier,5,Montpellier,Miscontrol,From Throw In,,,0.0,,,0,90.4,73.0,61,0,0,draw,0,61,0
82,3900560,1,1,2,Olivier Boscagli,OGC Nice,5,Montpellier,Pass,From Throw In,,,1.132192,Incomplete,,0,30.4,11.0,62,0,0,draw,0,62,0
84,3900560,1,1,3,Jamel Saihi,Montpellier,5,Montpellier,Pass,From Throw In,,,0.609799,,,0,77.2,54.2,63,0,0,draw,0,63,0
86,3900560,1,1,4,William Jean Rémy,Montpellier,5,Montpellier,Pass,From Throw In,,,1.465099,,,0,76.1,61.3,64,0,0,draw,0,64,0
88,3900560,1,1,6,Vitorino Hilton da Silva,Montpellier,5,Montpellier,Carry,From Throw In,,,1.906599,,,0,55.1,65.6,66,0,0,draw,0,66,0
89,3900560,1,1,7,Vitorino Hilton da Silva,Montpellier,5,Montpellier,Pass,From Throw In,,,0.9912,,,0,56.2,65.8,67,0,0,draw,0,67,0
91,3900560,1,1,8,Mathieu Deplagne,Montpellier,5,Montpellier,Carry,From Throw In,,,1.016899,,,0,66.2,74.1,68,0,0,draw,0,68,0
92,3900560,1,1,9,Mathieu Deplagne,Montpellier,5,Montpellier,Pass,From Throw In,,,2.251599,,,0,65.0,73.1,69,0,0,draw,0,69,0
94,3900560,1,1,12,Vitorino Hilton da Silva,Montpellier,5,Montpellier,Carry,From Throw In,,,5.577398,,,0,44.8,65.3,72,0,0,draw,0,72,0
95,3900560,1,1,17,Vitorino Hilton da Silva,Montpellier,5,Montpellier,Pass,From Throw In,,,2.014798,,,0,42.8,44.2,77,0,0,draw,0,77,0
97,3900560,1,1,19,Mathieu Deplagne,Montpellier,5,Montpellier,Carry,From Throw In,,,1.1431971,,,0,48.7,75.3,79,0,0,draw,0,79,0
98,3900560,1,1,20,Mathieu Deplagne,Montpellier,5,Montpellier,Pass,From Throw In,,,1.0695,,,0,49.7,76.1,80,0,0,draw,0,80,0
100,3900560,1,1,21,William Jean Rémy,Montpellier,5,Montpellier,Carry,From Throw In,,,0.941099,,,0,48.2,67.5,81,0,0,draw,0,81,0
101,3900560,1,1,22,Valère Germain,OGC Nice,5,Montpellier,Pressure,From Throw In,,,0.651743,,,0,70.8,12.9,82,0,0,draw,0,82,0
102,3900560,1,1,22,William Jean Rémy,Montpellier,5,Montpellier,Pass,From Throw In,,,3.0622,,,0,47.2,67.0,82,0,0,draw,0,82,0
104,3900560,1,1,25,Laurent Pionnier,Montpellier,5,Montpellier,Carry,From Throw In,,,2.691597,,,0,11.2,42.4,85,0,0,draw,0,85,0
105,3900560,1,1,28,Laurent Pionnier,Montpellier,5,Montpellier,Pass,From Throw In,,,2.879837,Incomplete,,0,16.7,42.4,88,0,0,draw,0,88,0
107,3900560,1,1,31,Paul Baysse,OGC Nice,5,Montpellier,Pass,From Throw In,,,2.17776,Incomplete,,0,41.1,60.9,91,0,0,draw,0,91,0
109,3900560,1,1,33,William Jean Rémy,Montpellier,5,Montpellier,Pass,From Throw In,,,2.000636,Incomplete,,0,56.2,44.2,93,0,0,draw,0,93,0
111,3900560,1,1,35,Olivier Boscagli,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.287043,,,0,55.8,12.9,95,0,0,draw,0,95,0
112,3900560,1,1,36,William Jean Rémy,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.4638,,,0,50.3,65.2,96,0,0,draw,0,96,0
114,3900560,1,1,37,Hatem Ben Arfa,OGC Nice,6,OGC Nice,Carry,Regular Play,,,0.040000003,,,0,69.8,14.9,97,0,0,draw,0,97,0
115,3900560,1,1,37,Hatem Ben Arfa,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.974044,,,0,69.8,14.9,97,0,0,draw,0,97,0
117,3900560,1,1,39,Nampalys Mendy,OGC Nice,6,OGC Nice,Carry,Regular Play,,,0.766374,,,0,56.4,28.2,99,0,0,draw,0,99,0
118,3900560,1,1,39,Ryad Boudebouz,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.375999,,,0,60.4,51.6,99,0,0,draw,0,99,0
119,3900560,1,1,39,Nampalys Mendy,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.100032,,,0,58.7,28.7,99,0,0,draw,0,99,0
121,3900560,1,1,40,Vincent Koziello,OGC Nice,6,OGC Nice,Carry,Regular Play,,,1.010137,,,0,61.1,37.3,100,0,0,draw,0,100,0
122,3900560,1,1,41,Vincent Koziello,OGC Nice,6,OGC Nice,Pass,Regular Play,,,0.208917,Incomplete,,0,64.4,39.3,101,0,0,draw,0,101,0
124,3900560,1,1,42,Jonas Martin,Montpellier,6,OGC Nice,Block,Regular Play,,,0.0,,,0,53.6,36.0,102,0,0,draw,0,102,0
125,3900560,1,1,42,Vincent Koziello,OGC Nice,6,OGC Nice,Ball Recovery,Regular Play,,,0.0,,,0,64.7,45.6,102,0,0,draw,0,102,0
126,3900560,1,1,43,Ryad Boudebouz,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.390098,,,0,56.2,45.3,103,0,0,draw,0,103,0
127,3900560,1,1,43,Nampalys Mendy,OGC Nice,6,OGC Nice,Ball Recovery,Regular Play,,,0.0,,,0,67.2,37.1,103,0,0,draw,0,103,0
128,3900560,1,1,43,Nampalys Mendy,OGC Nice,6,OGC Nice,Carry,Regular Play,,,0.782499,,,0,67.2,37.1,103,0,0,draw,0,103,0
129,3900560,1,1,44,William Jean Rémy,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.504898,,,0,53.1,41.7,104,0,0,draw,0,104,0
130,3900560,1,1,44,Nampalys Mendy,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.467942,,,0,68.4,41.2,104,0,0,draw,0,104,0
132,3900560,1,1,46,Hatem Ben Arfa,OGC Nice,6,OGC Nice,Carry,Regular Play,,,2.274159,,,0,77.3,29.1,106,0,0,draw,0,106,0
133,3900560,1,1,48,Hatem Ben Arfa,OGC Nice,6,OGC Nice,Pass,Regular Play,,,2.083335,,,0,76.7,42.4,108,0,0,draw,0,108,0
135,3900560,1,1,50,Paul Baysse,OGC Nice,6,OGC Nice,Carry,Regular Play,,,3.880512,,,0,72.5,74.5,110,0,0,draw,0,110,0
136,3900560,1,1,54,Paul Baysse,OGC Nice,6,OGC Nice,Pass,Regular Play,,,0.678313,,,0,86.4,75.2,114,0,0,draw,0,114,0
138,3900560,1,1,54,Jérémy Pied,OGC Nice,6,OGC Nice,Carry,Regular Play,,,1.028551,,,0,77.9,66.8,114,0,0,draw,0,114,0
139,3900560,1,1,55,Jérémy Pied,OGC Nice,6,OGC Nice,Pass,Regular Play,,,0.818042,,,0,77.9,66.8,115,0,0,draw,0,115,0
140,3900560,1,1,56,Ramy Bensebaini,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.421597,,,0,32.3,16.0,116,0,0,draw,0,116,0
142,3900560,1,1,56,Hatem Ben Arfa,OGC Nice,6,OGC Nice,Carry,Regular Play,,,1.397721,,,0,87.8,64.1,116,0,0,draw,0,116,0
143,3900560,1,1,57,Jamel Saihi,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.547699,,,0,38.9,16.1,117,0,0,draw,0,117,0
144,3900560,1,1,58,Hatem Ben Arfa,OGC Nice,6,OGC Nice,Pass,Regular Play,,,2.109553,,,0,80.8,64.0,118,0,0,draw,0,118,0
145,3900560,1,1,59,Ryad Boudebouz,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.5916,,,0,48.2,30.5,119,0,0,draw,0,119,0
147,3900560,1,2,0,Nampalys Mendy,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.427132,,,0,71.9,49.8,120,0,0,draw,0,120,0
149,3900560,1,2,1,Maxime Le Marchand,OGC Nice,6,OGC Nice,Carry,Regular Play,,,2.462047,,,0,57.5,35.9,121,0,0,draw,0,121,0
150,3900560,1,2,4,Maxime Le Marchand,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.461764,,,0,57.5,35.9,124,0,0,draw,0,124,0
152,3900560,1,2,5,Olivier Boscagli,OGC Nice,6,OGC Nice,Carry,Regular Play,,,1.921001,,,0,59.0,4.8,125,0,0,draw,0,125,0
153,3900560,1,2,7,Olivier Boscagli,OGC Nice,6,OGC Nice,Pass,Regular Play,,,0.048838,Incomplete,,0,62.3,3.4,127,0,0,draw,0,127,0
155,3900560,1,2,7,Morgan Sanson,Montpellier,6,OGC Nice,Block,Regular Play,,,0.0,,,0,57.0,71.6,127,0,0,draw,0,127,0
156,3900560,1,2,8,Rodrigue Casimir Ninga,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.316296,,,0,55.0,53.3,128,0,0,draw,0,128,0
157,3900560,1,2,9,Nampalys Mendy,OGC Nice,6,OGC Nice,Pass,Regular Play,,,2.797043,,,0,65.1,26.8,129,0,0,draw,0,129,0
159,3900560,1,2,12,Maxime Le Marchand,OGC Nice,6,OGC Nice,Carry,Regular Play,,,0.08,,,0,37.8,11.2,132,0,0,draw,0,132,0
160,3900560,1,2,12,Maxime Le Marchand,OGC Nice,6,OGC Nice,Pass,Regular Play,,,2.132806,,,0,37.8,11.2,132,0,0,draw,0,132,0
162,3900560,1,2,14,Mathieu Bodmer,OGC Nice,6,OGC Nice,Carry,Regular Play,,,0.725346,,,0,36.9,39.0,134,0,0,draw,0,134,0
163,3900560,1,2,14,Mathieu Bodmer,OGC Nice,6,OGC Nice,Pass,Regular Play,,,1.052699,,,0,35.0,38.4,134,0,0,draw,0,134,0
164,3900560,1,2,15,Ryad Boudebouz,Montpellier,6,OGC Nice,Pressure,Regular Play,,,0.388,,,0,74.5,46.3,135,0,0,draw,0,135,0
166,3900560,1,2,16,Nampalys Mendy,OGC Nice,6,OGC Nice,Pass,Regular Play,,,2.128108,,,0,45.6,33.8,136,0,0,draw,0,136,0
168,3900560,1,2,18,Mathieu Bodmer,OGC Nice,6,OGC Nice,Carry,Regular Play,,,2.140182,,,0,26.4,51.8,138,0,0,draw,0,138,0
