index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3901172,1,0,0,Axel Ngando,Bastia,2,Bastia,Pass,From Kick Off,,,0.521423,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3901172,1,0,0,Seko Fofana,Bastia,2,Bastia,Carry,From Kick Off,,,0.131994,,,0,58.0,38.0,0,0,0,draw,0,0,0
8,3901172,1,0,0,Seko Fofana,Bastia,2,Bastia,Pass,From Kick Off,,,1.380609,,,0,56.9,37.8,0,0,0,draw,0,0,0
10,3901172,1,0,2,Mehdi Mostefa Sbaa,Bastia,2,Bastia,Carry,From Kick Off,,,0.393737,,,0,44.1,37.0,2,0,0,draw,0,2,0
11,3901172,1,0,2,Mehdi Mostefa Sbaa,Bastia,2,Bastia,Pass,From Kick Off,,,3.101006,Out,,0,43.7,38.0,2,0,0,draw,0,2,0
12,3901172,1,0,2,Kolbeinn Sigþórsson,Nantes,2,Bastia,Pressure,From Kick Off,,,0.528893,,,0,73.4,42.3,2,0,0,draw,0,2,0
14,3901172,1,0,18,Léo Dubois,Nantes,3,Nantes,Pass,From Throw In,,,2.633259,,,0,28.5,0.1,18,0,0,draw,0,18,0
16,3901172,1,0,20,Rémy Riou,Nantes,3,Nantes,Carry,From Throw In,,,1.186733,,,0,7.3,21.1,20,0,0,draw,0,20,0
17,3901172,1,0,21,Evaeverson Lemos da Silva Brandão,Bastia,3,Nantes,Pressure,From Throw In,,,0.650946,,,0,105.7,59.8,21,0,0,draw,0,21,0
18,3901172,1,0,21,Rémy Riou,Nantes,3,Nantes,Pass,From Throw In,,,3.172702,Incomplete,,0,6.7,21.1,21,0,0,draw,0,21,0
20,3901172,1,0,25,Kolbeinn Sigþórsson,Nantes,3,Nantes,Duel,From Throw In,Aerial Lost,,0.0,,,0,51.8,10.6,25,0,0,draw,0,25,0
21,3901172,1,0,25,Alexander Djiku,Bastia,3,Nantes,Pass,From Throw In,,,2.20199,Incomplete,,0,68.3,69.5,25,0,0,draw,0,25,0
22,3901172,1,0,27,Lorik Agim Cana,Nantes,3,Nantes,Ball Recovery,From Throw In,,,0.0,,,0,36.4,23.5,27,0,0,draw,0,27,0
23,3901172,1,0,27,Lorik Agim Cana,Nantes,3,Nantes,Carry,From Throw In,,,3.293584,,,0,36.4,23.5,27,0,0,draw,0,27,0
24,3901172,1,0,28,Axel Ngando,Bastia,3,Nantes,Pressure,From Throw In,,,2.305298,,,0,75.5,53.9,28,0,0,draw,0,28,0
25,3901172,1,0,30,Lorik Agim Cana,Nantes,3,Nantes,Pass,From Throw In,,,1.192334,,,0,42.2,30.1,30,0,0,draw,0,30,0
27,3901172,1,0,31,Oswaldo Augusto Vizcarrondo Araújo,Nantes,3,Nantes,Carry,From Throw In,,,1.248878,,,0,30.9,40.1,31,0,0,draw,0,31,0
28,3901172,1,0,32,Evaeverson Lemos da Silva Brandão,Bastia,3,Nantes,Pressure,From Throw In,,,0.762221,,,0,88.6,36.5,32,0,0,draw,0,32,0
29,3901172,1,0,32,Oswaldo Augusto Vizcarrondo Araújo,Nantes,3,Nantes,Pass,From Throw In,,,2.400355,,,0,28.9,48.9,32,0,0,draw,0,32,0
30,3901172,1,0,35,Mathieu Peybernes,Bastia,3,Nantes,Pressure,From Throw In,,,0.26093,,,0,52.7,29.7,35,0,0,draw,0,35,0
