index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3829522,1,0,0,Alexandre Mendy,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,0.399998,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3829522,1,0,0,Valère Germain,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,0.92,,,0,58.2,41.7,0,0,0,draw,0,0,0
9,3829522,1,0,1,Hatem Ben Arfa,OGC Nice,2,OGC Nice,Carry,From Kick Off,,,1.119278,,,0,55.2,36.5,1,0,0,draw,0,1,0
10,3829522,1,0,2,Kolbeinn Sigþórsson,Nantes,2,OGC Nice,Pressure,From Kick Off,,,0.290641,,,0,65.3,39.7,2,0,0,draw,0,2,0
11,3829522,1,0,2,Hatem Ben Arfa,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.719999,,,0,54.8,37.4,2,0,0,draw,0,2,0
13,3829522,1,0,4,Romain Genevois,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,2.0,,,0,35.1,57.5,4,0,0,draw,0,4,0
15,3829522,1,0,6,Mathieu Bodmer,OGC Nice,2,OGC Nice,Carry,From Kick Off,,,0.959991,,,0,34.0,19.5,6,0,0,draw,0,6,0
16,3829522,1,0,7,Mathieu Bodmer,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.284084,,,0,35.3,23.6,7,0,0,draw,0,7,0
18,3829522,1,0,8,Jean Michaël Seri,OGC Nice,2,OGC Nice,Carry,From Kick Off,,,0.953192,,,0,41.8,15.2,8,0,0,draw,0,8,0
19,3829522,1,0,9,Jean Michaël Seri,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.24,,,0,43.5,14.1,9,0,0,draw,0,9,0
21,3829522,1,0,10,Ricardo Domingos Barbosa Pereira,OGC Nice,2,OGC Nice,Carry,From Kick Off,,,1.239998,,,0,54.1,4.1,10,0,0,draw,0,10,0
22,3829522,1,0,11,Jules Iloki,Nantes,2,OGC Nice,Pressure,From Kick Off,,,0.310033,,,0,65.1,73.2,11,0,0,draw,0,11,0
23,3829522,1,0,11,Ricardo Domingos Barbosa Pereira,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.999999,,,0,54.1,4.6,11,0,0,draw,0,11,0
25,3829522,1,0,13,Mathieu Bodmer,OGC Nice,2,OGC Nice,Carry,From Kick Off,,,0.879996,,,0,37.1,17.5,13,0,0,draw,0,13,0
26,3829522,1,0,14,Mathieu Bodmer,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,2.399997,,,0,35.6,19.5,14,0,0,draw,0,14,0
28,3829522,1,0,17,Mahamane El-Hadj Traoré,OGC Nice,2,OGC Nice,Carry,From Kick Off,,,2.479996,,,0,48.7,63.5,17,0,0,draw,0,17,0
29,3829522,1,0,19,Yacine Bammou,Nantes,2,OGC Nice,Pressure,From Kick Off,,,0.255959,,,0,62.7,19.8,19,0,0,draw,0,19,0
30,3829522,1,0,19,Mahamane El-Hadj Traoré,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.159996,,,0,55.2,61.6,19,0,0,draw,0,19,0
32,3829522,1,0,20,Jérémy Pied,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,0.959997,,,0,63.2,71.5,20,0,0,draw,0,20,0
34,3829522,1,0,21,Mahamane El-Hadj Traoré,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.439032,Incomplete,,0,77.2,57.3,21,0,0,draw,0,21,0
36,3829522,1,0,23,Wilfried Moimbé,Nantes,2,OGC Nice,Interception,From Kick Off,,,0.0,,,0,29.1,14.0,23,0,0,draw,0,23,0
37,3829522,1,0,23,Wilfried Moimbé,Nantes,2,OGC Nice,Carry,From Kick Off,,,1.365791,,,0,29.1,14.0,23,0,0,draw,0,23,0
38,3829522,1,0,24,Mahamane El-Hadj Traoré,OGC Nice,2,OGC Nice,Pressure,From Kick Off,,,0.519998,,,0,88.7,60.3,24,0,0,draw,0,24,0
39,3829522,1,0,24,Wilfried Moimbé,Nantes,2,OGC Nice,Pass,From Kick Off,,,1.401534,Incomplete,,0,29.9,18.3,24,0,0,draw,0,24,0
