index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900570,1,0,1,Gaël Danic,Bastia,2,Bastia,Pass,From Kick Off,,,0.904894,,,0,60.0,40.0,1,0,0,draw,0,0,0
7,3900570,1,0,2,Yannick Cahuzac,Bastia,2,Bastia,Pass,From Kick Off,,,1.582347,,,0,57.4,36.4,2,0,0,draw,0,1,0
9,3900570,1,0,3,François Modesto,Bastia,2,Bastia,Carry,From Kick Off,,,0.039999,,,0,37.9,32.1,3,0,0,draw,0,2,0
10,3900570,1,0,3,François Modesto,Bastia,2,Bastia,Pass,From Kick Off,,,5.299556,Incomplete,,0,40.7,32.9,3,0,0,draw,0,2,0
12,3900570,1,0,9,Serge Aurier,Paris Saint-Germain,3,Paris Saint-Germain,Ball Recovery,Regular Play,,,0.0,,,0,18.8,74.5,9,0,0,draw,0,8,0
13,3900570,1,0,9,Serge Aurier,Paris Saint-Germain,3,Paris Saint-Germain,Carry,Regular Play,,,1.724697,,,0,18.8,74.5,9,0,0,draw,0,8,0
14,3900570,1,0,9,Evaeverson Lemos da Silva Brandão,Bastia,3,Paris Saint-Germain,Pressure,Regular Play,,,0.985276,,,0,99.7,10.5,9,0,0,draw,0,8,0
16,3900570,1,0,10,Serge Aurier,Paris Saint-Germain,3,Paris Saint-Germain,Dribble,Regular Play,,,0.0,,,0,17.6,76.4,10,0,0,draw,0,9,0
17,3900570,1,0,10,Serge Aurier,Paris Saint-Germain,3,Paris Saint-Germain,Carry,Regular Play,,,1.290185,,,0,17.6,76.4,10,0,0,draw,0,9,0
18,3900570,1,0,11,Julian Palmieri,Bastia,3,Paris Saint-Germain,Pressure,Regular Play,,,0.878916,,,0,92.6,9.8,11,0,0,draw,0,10,0
19,3900570,1,0,12,Julian Palmieri,Bastia,3,Paris Saint-Germain,Foul Committed,Regular Play,,,0.0,,,0,93.1,4.4,12,0,0,draw,0,11,0
20,3900570,1,0,12,Serge Aurier,Paris Saint-Germain,3,Paris Saint-Germain,Foul Won,Regular Play,,,0.0,,,0,27.0,75.7,12,0,0,draw,0,11,0
21,3900570,1,0,22,Thiago Emiliano da Silva,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.059009,,,0,27.0,75.9,22,0,0,draw,0,21,0
23,3900570,1,0,23,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.668345,,,0,25.1,29.6,23,0,0,draw,0,22,0
25,3900570,1,0,26,Maxwell Scherrer Cabelino Andrade,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,0.929174,,,0,36.9,14.1,26,0,0,draw,0,25,0
27,3900570,1,0,27,Blaise Matuidi,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,2.351251,,,0,49.8,19.5,27,0,0,draw,0,26,0
28,3900570,1,0,30,Blaise Matuidi,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,0.990587,,,0,53.3,21.4,30,0,0,draw,0,29,0
30,3900570,1,0,31,Thiago Motta,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,2.629535,,,0,44.6,31.3,31,0,0,draw,0,30,0
31,3900570,1,0,33,Thiago Motta,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.601178,,,0,48.6,33.1,33,0,0,draw,0,32,0
33,3900570,1,0,35,Thiago Emiliano da Silva,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,1.412621,,,0,39.9,59.7,35,0,0,draw,0,34,0
34,3900570,1,0,36,Thiago Emiliano da Silva,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.322314,,,0,46.7,60.9,36,0,0,draw,0,35,0
36,3900570,1,0,38,Marco Verratti,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,0.080817,,,0,55.9,71.0,38,0,0,draw,0,37,0
37,3900570,1,0,38,Marco Verratti,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.728761,,,0,56.4,71.5,38,0,0,draw,0,37,0
39,3900570,1,0,39,Thiago Emiliano da Silva,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,2.670289,,,0,45.3,59.2,39,0,0,draw,0,38,0
40,3900570,1,0,42,Thiago Emiliano da Silva,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,2.662407,,,0,46.5,59.7,42,0,0,draw,0,41,0
42,3900570,1,0,45,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,2.162005,,,0,49.6,26.8,45,0,0,draw,0,44,0
43,3900570,1,0,47,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.527623,,,0,57.1,24.4,47,0,0,draw,0,46,0
45,3900570,1,0,48,Maxwell Scherrer Cabelino Andrade,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,0.492674,,,0,70.0,6.3,48,0,0,draw,0,47,0
46,3900570,1,0,49,Maxwell Scherrer Cabelino Andrade,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,2.223086,,,0,70.0,7.3,49,0,0,draw,0,48,0
48,3900570,1,0,51,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,1.306535,,,0,43.9,18.3,51,0,0,draw,0,50,0
49,3900570,1,0,52,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,2.313422,,,0,34.3,26.3,52,0,0,draw,0,51,0
51,3900570,1,0,55,Kevin Trapp,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,0.21923,,,0,10.8,44.4,55,0,0,draw,0,54,0
52,3900570,1,0,55,Kevin Trapp,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.776787,,,0,12.4,44.4,55,0,0,draw,0,54,0
54,3900570,1,0,57,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,1.88161,,,0,26.3,29.8,57,0,0,draw,0,56,0
55,3900570,1,0,59,David Luiz Moreira Marinho,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,0.926928,,,0,35.0,27.7,59,0,0,draw,0,58,0
57,3900570,1,1,0,Blaise Matuidi,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,0.564312,,,0,44.9,20.7,60,0,0,draw,0,59,0
58,3900570,1,1,0,Blaise Matuidi,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.17441,,,0,45.3,20.2,60,0,0,draw,0,59,0
60,3900570,1,1,1,Thiago Motta,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,1.402112,,,0,44.1,36.7,61,0,0,draw,0,60,0
61,3900570,1,1,3,Thiago Motta,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.758765,,,0,44.1,36.7,63,0,0,draw,0,62,0
63,3900570,1,1,5,Marco Verratti,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,2.989422,,,0,55.2,59.7,65,0,0,draw,0,64,0
64,3900570,1,1,8,Marco Verratti,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.381473,,,0,69.5,63.5,68,0,0,draw,0,67,0
66,3900570,1,1,9,Serge Aurier,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,1.933272,,,0,88.1,78.3,69,0,0,draw,0,68,0
67,3900570,1,1,11,Serge Aurier,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.290657,,,0,89.3,75.7,71,0,0,draw,0,70,0
69,3900570,1,1,12,Marco Verratti,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,1.860283,,,0,86.9,66.5,72,0,0,draw,0,71,0
70,3900570,1,1,14,Seko Fofana,Bastia,4,Paris Saint-Germain,Pressure,From Free Kick,,,0.738603,,,0,30.8,12.2,74,0,0,draw,0,73,0
71,3900570,1,1,14,Marco Verratti,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,0.96029,,,0,86.2,69.6,74,0,0,draw,0,73,0
73,3900570,1,1,15,Serge Aurier,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,0.161212,,,0,91.9,75.7,75,0,0,draw,0,74,0
74,3900570,1,1,15,Serge Aurier,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,0.901418,,,0,93.1,75.7,75,0,0,draw,0,74,0
76,3900570,1,1,16,Ángel Fabián Di María Hernández,Paris Saint-Germain,4,Paris Saint-Germain,Carry,From Free Kick,,,0.750253,,,0,90.9,67.9,76,0,0,draw,0,75,0
77,3900570,1,1,17,Ángel Fabián Di María Hernández,Paris Saint-Germain,4,Paris Saint-Germain,Pass,From Free Kick,,,1.496276,Incomplete,,0,86.9,65.4,77,0,0,draw,0,76,0
79,3900570,1,1,18,Gilles Cioni,Bastia,4,Paris Saint-Germain,Clearance,From Free Kick,,,0.0,,,0,17.9,42.7,78,0,0,draw,0,77,0
80,3900570,1,1,19,Blaise Matuidi,Paris Saint-Germain,4,Paris Saint-Germain,Ball Recovery,From Free Kick,,,0.0,,,0,90.5,48.0,79,0,0,draw,0,78,0
