index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900619,1,0,0,Jeremie Boga,Rennes,2,Rennes,Pass,From Kick Off,,,0.517493,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3900619,1,0,1,Juan Fernando Quintero Paniagua,Rennes,2,Rennes,Carry,From Kick Off,,,1.607149,,,0,60.8,40.0,1,0,0,draw,0,1,0
8,3900619,1,0,2,Juan Fernando Quintero Paniagua,Rennes,2,Rennes,Pass,From Kick Off,,,2.084862,,,0,61.2,37.6,2,0,0,draw,0,2,0
10,3900619,1,0,4,Cheikh M''Bengue,Rennes,2,Rennes,Carry,From Kick Off,,,0.743488,,,0,50.0,13.2,4,0,0,draw,0,4,0
11,3900619,1,0,5,Cheikh M''Bengue,Rennes,2,Rennes,Pass,From Kick Off,,,0.943045,,,0,51.9,14.3,5,0,0,draw,0,5,0
13,3900619,1,0,5,Paul-Georges Ntep de Madiba,Rennes,2,Rennes,Carry,From Kick Off,,,1.700595,,,0,64.0,22.0,5,0,0,draw,0,5,0
14,3900619,1,0,5,Kévin Monnet-Paquet,Saint-Étienne,2,Rennes,Block,From Kick Off,,,0.0,,,0,63.3,63.8,5,0,0,draw,0,5,0
15,3900619,1,0,7,Jérémy Clément,Saint-Étienne,2,Rennes,Pressure,From Kick Off,,,0.262039,,,0,55.8,55.6,7,0,0,draw,0,7,0
16,3900619,1,0,7,Paul-Georges Ntep de Madiba,Rennes,2,Rennes,Pass,From Kick Off,,,1.599905,Incomplete,,0,64.3,24.5,7,0,0,draw,0,7,0
18,3900619,1,0,9,Kévin Théophile-Catherine,Saint-Étienne,2,Rennes,Pass,From Kick Off,,,2.863979,,,0,41.1,60.9,9,0,0,draw,0,9,0
20,3900619,1,0,11,Stéphane Ruffier,Saint-Étienne,2,Rennes,Pass,From Kick Off,,,3.06797,Unknown,,0,11.0,49.2,11,0,0,draw,0,11,0
22,3900619,1,0,14,Alexander Toft Søderlund,Saint-Étienne,2,Rennes,Foul Committed,From Kick Off,,,0.0,,,0,76.3,40.3,14,0,0,draw,0,14,0
23,3900619,1,0,14,Pedro Filipe Teodósio Mendes,Rennes,2,Rennes,Foul Won,From Kick Off,,,0.0,,,0,43.8,39.8,14,0,0,draw,0,14,0
24,3900619,1,0,24,Pedro Filipe Teodósio Mendes,Rennes,3,Rennes,Pass,From Free Kick,,,0.590821,,,0,44.0,40.3,24,0,0,draw,0,24,0
26,3900619,1,0,27,Yacouba Sylla,Rennes,3,Rennes,Pass,From Free Kick,,,2.602294,Incomplete,,0,53.4,43.8,27,0,0,draw,0,27,0
28,3900619,1,0,30,Kévin Théophile-Catherine,Saint-Étienne,3,Rennes,Clearance,From Free Kick,,,0.0,,,0,24.8,63.1,30,0,0,draw,0,30,0
29,3900619,1,0,37,Cheikh M''Bengue,Rennes,4,Rennes,Pass,From Throw In,,,1.442385,,,0,91.9,0.1,37,0,0,draw,0,37,0
30,3900619,1,0,38,Moustapha Bayal Sall,Saint-Étienne,4,Rennes,Pressure,From Throw In,,,0.817298,,,0,15.0,65.0,38,0,0,draw,0,38,0
32,3900619,1,0,39,Jeremie Boga,Rennes,4,Rennes,Carry,From Throw In,,,0.619209,,,0,105.1,14.8,39,0,0,draw,0,39,0
33,3900619,1,0,39,Jeremie Boga,Rennes,4,Rennes,Pass,From Throw In,,,0.60263,,,0,103.2,11.3,39,0,0,draw,0,39,0
35,3900619,1,0,40,Paul-Georges Ntep de Madiba,Rennes,4,Rennes,Carry,From Throw In,,,0.397877,,,0,100.4,9.7,40,0,0,draw,0,40,0
36,3900619,1,0,40,Moustapha Bayal Sall,Saint-Étienne,4,Rennes,Pressure,From Throw In,,,0.39187,,,0,19.7,70.4,40,0,0,draw,0,40,0
37,3900619,1,0,40,Paul-Georges Ntep de Madiba,Rennes,4,Rennes,Dribble,From Throw In,,,0.0,,,0,100.4,9.7,40,0,0,draw,0,40,0
38,3900619,1,0,40,Moustapha Bayal Sall,Saint-Étienne,5,Saint-Étienne,Duel,Regular Play,Tackle,Won,0.0,,,0,19.7,70.4,40,0,0,draw,0,40,0
39,3900619,1,0,40,Moustapha Bayal Sall,Saint-Étienne,5,Saint-Étienne,Carry,Regular Play,,,1.921766,,,0,19.7,70.4,40,0,0,draw,0,40,0
40,3900619,1,0,41,Paul-Georges Ntep de Madiba,Rennes,5,Saint-Étienne,Pressure,Regular Play,,,0.645571,,,0,98.8,10.4,41,0,0,draw,0,41,0
41,3900619,1,0,42,Paul-Georges Ntep de Madiba,Rennes,5,Saint-Étienne,Foul Committed,Regular Play,,,0.0,,,0,98.8,10.4,42,0,0,draw,0,42,0
42,3900619,1,0,42,Moustapha Bayal Sall,Saint-Étienne,5,Saint-Étienne,Foul Won,Regular Play,,,0.0,,,0,21.3,69.7,42,0,0,draw,0,42,0
43,3900619,1,1,6,Stéphane Ruffier,Saint-Étienne,6,Saint-Étienne,Pass,From Free Kick,,,2.188343,,,0,20.8,68.8,66,0,0,draw,0,66,0
45,3900619,1,1,10,Florentin Pogba,Saint-Étienne,6,Saint-Étienne,Pass,From Free Kick,,,1.581797,,,0,44.9,18.7,70,0,0,draw,0,70,0
47,3900619,1,1,12,Franck Tabanou,Saint-Étienne,6,Saint-Étienne,Carry,From Free Kick,,,0.950772,,,0,51.4,2.0,72,0,0,draw,0,72,0
48,3900619,1,1,12,Ousmane Dembélé,Rennes,6,Saint-Étienne,Pressure,From Free Kick,,,0.172438,,,0,62.9,77.5,72,0,0,draw,0,72,0
49,3900619,1,1,13,Franck Tabanou,Saint-Étienne,6,Saint-Étienne,Pass,From Free Kick,,,1.00033,,,0,54.3,3.0,73,0,0,draw,0,73,0
51,3900619,1,1,14,Renaud Cohade,Saint-Étienne,6,Saint-Étienne,Carry,From Free Kick,,,0.756604,,,0,60.3,10.8,74,0,0,draw,0,74,0
52,3900619,1,1,14,Yacouba Sylla,Rennes,6,Saint-Étienne,Pressure,From Free Kick,,,0.243063,,,0,56.8,68.3,74,0,0,draw,0,74,0
53,3900619,1,1,14,Renaud Cohade,Saint-Étienne,6,Saint-Étienne,Pass,From Free Kick,,,0.780873,,,0,57.3,9.7,74,0,0,draw,0,74,0
55,3900619,1,1,15,Jérémy Clément,Saint-Étienne,6,Saint-Étienne,Pass,From Free Kick,,,3.593008,,,0,52.0,17.7,75,0,0,draw,0,75,0
56,3900619,1,1,19,Pedro Filipe Teodósio Mendes,Rennes,6,Saint-Étienne,Pressure,From Free Kick,,,1.23884,,,0,26.1,74.5,79,0,0,draw,0,79,0
58,3900619,1,1,19,Alexander Toft Søderlund,Saint-Étienne,6,Saint-Étienne,Carry,From Free Kick,,,1.24767,,,0,94.0,5.6,79,0,0,draw,0,79,0
59,3900619,1,1,20,Alexander Toft Søderlund,Saint-Étienne,6,Saint-Étienne,Pass,From Free Kick,,,0.025419,Incomplete,,0,95.3,4.2,80,0,0,draw,0,80,0
61,3900619,1,1,20,Pedro Filipe Teodósio Mendes,Rennes,6,Saint-Étienne,Block,From Free Kick,,,0.0,,,0,24.8,75.9,80,0,0,draw,0,80,0
