index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3901250,1,0,0,Valère Germain,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,1.51211,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3901250,1,0,2,Hatem Ben Arfa,OGC Nice,2,OGC Nice,Pass,From Kick Off,,,3.21251,Out,,0,62.5,39.2,2,0,0,draw,0,2,0
8,3901250,1,0,19,Benoît Assou-Ekotto,Saint-Étienne,3,Saint-Étienne,Pass,From Throw In,,,1.761228,,,0,16.6,0.1,19,0,0,draw,0,19,0
10,3901250,1,0,21,Nampalys Mendy,OGC Nice,3,Saint-Étienne,Duel,From Throw In,Aerial Lost,,0.0,,,0,77.2,77.7,21,0,0,draw,0,21,0
11,3901250,1,0,21,Nolan Roux,Saint-Étienne,3,Saint-Étienne,Pass,From Throw In,,,2.351939,Incomplete,,0,42.9,2.4,21,0,0,draw,0,21,0
13,3901250,1,0,23,Maxime Le Marchand,OGC Nice,4,OGC Nice,Ball Recovery,Regular Play,,,0.0,,,0,65.5,56.7,23,0,0,draw,0,23,0
14,3901250,1,0,23,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,0.897264,,,0,65.5,56.7,23,0,0,draw,0,23,0
15,3901250,1,0,24,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.423024,,,0,64.6,52.6,24,0,0,draw,0,24,0
17,3901250,1,0,26,Ricardo Domingos Barbosa Pereira,OGC Nice,4,OGC Nice,Carry,Regular Play,,,1.41706,,,0,64.9,29.4,26,0,0,draw,0,26,0
18,3901250,1,0,27,Ricardo Domingos Barbosa Pereira,OGC Nice,4,OGC Nice,Pass,Regular Play,,,2.025407,,,0,63.5,29.3,27,0,0,draw,0,27,0
20,3901250,1,0,29,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,2.926652,,,0,48.3,43.4,29,0,0,draw,0,29,0
21,3901250,1,0,32,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.523752,,,0,51.9,42.4,32,0,0,draw,0,32,0
23,3901250,1,0,34,Paul Baysse,OGC Nice,4,OGC Nice,Carry,Regular Play,,,3.52241,,,0,45.8,72.0,34,0,0,draw,0,34,0
24,3901250,1,0,35,Nolan Roux,Saint-Étienne,4,OGC Nice,Pressure,Regular Play,,,0.665364,,,0,69.5,7.7,35,0,0,draw,0,35,0
25,3901250,1,0,37,Paul Baysse,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.269318,,,0,48.5,71.0,37,0,0,draw,0,37,0
27,3901250,1,0,38,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,2.44223,,,0,38.1,54.9,38,0,0,draw,0,38,0
28,3901250,1,0,41,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,0.852478,,,0,39.9,42.9,41,0,0,draw,0,41,0
30,3901250,1,0,42,Jean Michaël Seri,OGC Nice,4,OGC Nice,Carry,Regular Play,,,0.796183,,,0,44.1,42.9,42,0,0,draw,0,42,0
31,3901250,1,0,42,Jean Michaël Seri,OGC Nice,4,OGC Nice,Pass,Regular Play,,,2.745643,,,0,43.4,40.5,42,0,0,draw,0,42,0
33,3901250,1,0,45,Nampalys Mendy,OGC Nice,4,OGC Nice,Carry,Regular Play,,,0.991722,,,0,37.1,5.7,45,0,0,draw,0,45,0
34,3901250,1,0,45,Valentin Eysseric,Saint-Étienne,4,OGC Nice,Pressure,Regular Play,,,0.904937,,,0,80.0,72.2,45,0,0,draw,0,45,0
35,3901250,1,0,46,Nampalys Mendy,OGC Nice,4,OGC Nice,Pass,Regular Play,,,2.142153,,,0,34.0,3.6,46,0,0,draw,0,46,0
37,3901250,1,0,48,Yoan Cardinale,OGC Nice,4,OGC Nice,Carry,Regular Play,,,1.695851,,,0,13.3,30.5,48,0,0,draw,0,48,0
38,3901250,1,0,50,Yoan Cardinale,OGC Nice,4,OGC Nice,Pass,Regular Play,,,2.22979,,,0,15.9,35.4,50,0,0,draw,0,50,0
40,3901250,1,0,52,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.061774,,,0,23.3,35.4,52,0,0,draw,0,52,0
42,3901250,1,0,53,Vincent Koziello,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.290612,,,0,34.4,42.7,53,0,0,draw,0,53,0
44,3901250,1,0,55,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,1.111027,,,0,23.6,34.6,55,0,0,draw,0,55,0
45,3901250,1,0,56,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.68343,,,0,26.0,32.9,56,0,0,draw,0,56,0
47,3901250,1,0,57,Ricardo Domingos Barbosa Pereira,OGC Nice,4,OGC Nice,Carry,Regular Play,,,1.137193,,,0,36.8,5.7,57,0,0,draw,0,57,0
48,3901250,1,0,59,Ricardo Domingos Barbosa Pereira,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.282046,,,0,36.2,6.6,59,0,0,draw,0,59,0
50,3901250,1,1,0,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,2.120912,,,0,30.5,20.3,60,0,0,draw,0,60,0
51,3901250,1,1,2,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,0.948783,,,0,40.6,17.4,62,0,0,draw,0,62,0
53,3901250,1,1,3,Valère Germain,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.719478,,,0,58.3,14.9,63,0,0,draw,0,63,0
55,3901250,1,1,5,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,1.9175301,,,0,45.3,18.9,65,0,0,draw,0,65,0
56,3901250,1,1,6,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.863936,,,0,44.5,21.4,66,0,0,draw,0,66,0
58,3901250,1,1,8,Nampalys Mendy,OGC Nice,4,OGC Nice,Carry,Regular Play,,,1.147574,,,0,33.7,32.2,68,0,0,draw,0,68,0
59,3901250,1,1,10,Nampalys Mendy,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.099187,,,0,33.4,37.8,70,0,0,draw,0,70,0
61,3901250,1,1,11,Paul Baysse,OGC Nice,4,OGC Nice,Carry,Regular Play,,,2.213928,,,0,32.9,56.2,71,0,0,draw,0,71,0
62,3901250,1,1,13,Paul Baysse,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.687511,,,0,32.4,56.5,73,0,0,draw,0,73,0
64,3901250,1,1,15,Maxime Le Marchand,OGC Nice,4,OGC Nice,Carry,Regular Play,,,0.790728,,,0,34.4,26.3,75,0,0,draw,0,75,0
65,3901250,1,1,15,Maxime Le Marchand,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.170093,,,0,35.6,24.5,75,0,0,draw,0,75,0
67,3901250,1,1,16,Jean Michaël Seri,OGC Nice,4,OGC Nice,Carry,Regular Play,,,2.371338,,,0,42.8,22.3,76,0,0,draw,0,76,0
68,3901250,1,1,18,Fabien Lemoine,Saint-Étienne,4,OGC Nice,Pressure,Regular Play,,,0.794567,,,0,72.2,54.8,78,0,0,draw,0,78,0
69,3901250,1,1,19,Jean Michaël Seri,OGC Nice,4,OGC Nice,Pass,Regular Play,,,1.522631,,,0,42.8,26.4,79,0,0,draw,0,79,0
