index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900575,1,0,0,Nicolas de Roussel de Préville,Stade de Reims,2,Stade de Reims,Pass,From Kick Off,,,0.532368,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3900575,1,0,1,Antoine Devaux,Stade de Reims,2,Stade de Reims,Pass,From Kick Off,,,1.080398,,,0,57.8,42.7,1,0,0,draw,0,1,0
9,3900575,1,0,2,Aïssa Mandi,Stade de Reims,2,Stade de Reims,Carry,From Kick Off,,,1.636518,,,0,38.4,42.0,2,0,0,draw,0,2,0
10,3900575,1,0,3,Wissam Ben Yedder,Toulouse,2,Stade de Reims,Pressure,From Kick Off,,,0.593021,,,0,79.0,38.4,3,0,0,draw,0,3,0
11,3900575,1,0,4,Aïssa Mandi,Stade de Reims,2,Stade de Reims,Pass,From Kick Off,,,3.298439,Incomplete,,0,37.2,43.6,4,0,0,draw,0,4,0
13,3900575,1,0,7,Marcel Tisserand,Toulouse,2,Stade de Reims,Pass,From Kick Off,,,1.506119,,,0,24.6,22.5,7,0,0,draw,0,7,0
14,3900575,1,0,8,Jaba Kankava,Stade de Reims,2,Stade de Reims,Pressure,From Kick Off,,,0.402074,,,0,69.5,56.6,8,0,0,draw,0,8,0
16,3900575,1,0,9,Óscar Guido Trejo,Toulouse,2,Stade de Reims,Pass,From Kick Off,,,0.894276,Incomplete,,0,49.2,22.8,9,0,0,draw,0,9,0
18,3900575,1,0,9,Atila Turan,Stade de Reims,2,Stade de Reims,Pass,From Kick Off,,,0.922291,,,0,75.9,51.2,9,0,0,draw,0,9,0
20,3900575,1,0,10,Prince Oniangué,Stade de Reims,2,Stade de Reims,Carry,From Kick Off,,,0.845927,,,0,72.5,63.2,10,0,0,draw,0,10,0
21,3900575,1,0,11,Prince Oniangué,Stade de Reims,2,Stade de Reims,Pass,From Kick Off,,,0.6544,,,0,72.7,63.2,11,0,0,draw,0,11,0
23,3900575,1,0,12,Antoine Devaux,Stade de Reims,2,Stade de Reims,Carry,From Kick Off,,,0.265712,,,0,84.9,63.0,12,0,0,draw,0,12,0
24,3900575,1,0,12,Antoine Devaux,Stade de Reims,2,Stade de Reims,Pass,From Kick Off,,,1.304393,Incomplete,,0,84.2,61.9,12,0,0,draw,0,12,0
25,3900575,1,0,13,Prince Oniangué,Stade de Reims,2,Stade de Reims,Pressure,From Kick Off,,,0.785956,,,0,78.3,57.8,13,0,0,draw,0,13,0
27,3900575,1,0,13,Óscar Guido Trejo,Toulouse,3,Toulouse,Ball Recovery,Regular Play,,,0.0,,,0,44.9,24.6,13,0,0,draw,0,13,0
28,3900575,1,0,13,Óscar Guido Trejo,Toulouse,3,Toulouse,Carry,Regular Play,,,0.970044,,,0,44.9,24.6,13,0,0,draw,0,13,0
29,3900575,1,0,14,Óscar Guido Trejo,Toulouse,3,Toulouse,Pass,Regular Play,,,1.383123,,,0,47.2,26.4,14,0,0,draw,0,14,0
31,3900575,1,0,16,Wissam Ben Yedder,Toulouse,3,Toulouse,Carry,Regular Play,,,0.04,,,0,57.4,26.4,16,0,0,draw,0,16,0
32,3900575,1,0,16,Mohamed Fofana,Stade de Reims,3,Toulouse,Pressure,Regular Play,,,0.394859,,,0,59.4,53.9,16,0,0,draw,0,16,0
33,3900575,1,0,16,Wissam Ben Yedder,Toulouse,3,Toulouse,Pass,Regular Play,,,1.28514,,,0,56.9,26.2,16,0,0,draw,0,16,0
35,3900575,1,0,17,Zinédine Machach,Toulouse,3,Toulouse,Carry,Regular Play,,,0.821148,,,0,55.8,15.3,17,0,0,draw,0,17,0
36,3900575,1,0,17,Prince Oniangué,Stade de Reims,3,Toulouse,Pressure,Regular Play,,,0.652891,,,0,55.8,62.7,17,0,0,draw,0,17,0
37,3900575,1,0,18,Zinédine Machach,Toulouse,3,Toulouse,Pass,Regular Play,,,1.080734,Incomplete,,0,62.6,12.4,18,0,0,draw,0,18,0
39,3900575,1,0,19,Hamari Traoré,Stade de Reims,3,Toulouse,Interception,Regular Play,,,0.0,,,0,49.7,74.5,19,0,0,draw,0,19,0
40,3900575,1,0,27,William Matheus da Silva,Toulouse,4,Toulouse,Pass,From Throw In,,,2.704246,Incomplete,,0,62.5,0.1,27,0,0,draw,0,27,0
41,3900575,1,0,28,Hamari Traoré,Stade de Reims,4,Toulouse,Pressure,From Throw In,,,0.53843,,,0,37.4,76.7,28,0,0,draw,0,28,0
43,3900575,1,0,29,Prince Oniangué,Stade de Reims,5,Stade de Reims,Pass,Regular Play,,,1.919318,,,0,40.1,76.3,29,0,0,draw,0,29,0
45,3900575,1,0,31,Alexis Blin,Toulouse,5,Stade de Reims,Duel,Regular Play,Aerial Lost,,0.0,,,0,56.9,22.8,31,0,0,draw,0,31,0
46,3900575,1,0,31,Antoine Devaux,Stade de Reims,5,Stade de Reims,Pass,Regular Play,,,0.921393,Incomplete,,0,63.2,57.3,31,0,0,draw,0,31,0
48,3900575,1,0,32,Marcel Tisserand,Toulouse,5,Stade de Reims,Pass,Regular Play,,,1.625135,Incomplete,,0,48.7,15.5,32,0,0,draw,0,32,0
