index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3901200,1,0,1,Julien Féret,Caen,2,Caen,Pass,From Kick Off,,,0.362948,,,0,61.0,40.1,1,0,0,draw,0,0,0
7,3901200,1,0,1,Andy Delort,Caen,2,Caen,Carry,From Kick Off,,,0.042747,,,0,60.6,42.9,1,0,0,draw,0,0,0
8,3901200,1,0,1,Andy Delort,Caen,2,Caen,Pass,From Kick Off,,,2.033621,,,0,60.6,43.4,1,0,0,draw,0,0,0
10,3901200,1,0,3,Damien Da Silva,Caen,2,Caen,Carry,From Kick Off,,,0.993245,,,0,40.5,33.3,3,0,0,draw,0,2,0
11,3901200,1,0,4,Damien Da Silva,Caen,2,Caen,Pass,From Kick Off,,,2.341052,,,0,37.9,38.5,4,0,0,draw,0,3,0
13,3901200,1,0,7,Ronny Rodelin,Caen,2,Caen,Pass,From Kick Off,,,3.569553,Out,,0,80.7,78.2,7,0,0,draw,0,6,0
15,3901200,1,0,25,Jacques François Moubandje,Toulouse,3,Toulouse,Pass,From Throw In,,,1.64217,Incomplete,,0,15.2,0.1,25,0,0,draw,0,24,0
17,3901200,1,0,26,Dennis Appiah,Caen,3,Toulouse,Pass,From Throw In,,,1.320834,,,0,80.0,79.1,26,0,0,draw,0,25,0
19,3901200,1,0,28,Ronny Rodelin,Caen,3,Toulouse,Carry,From Throw In,,,0.076955,,,0,94.6,75.7,28,0,0,draw,0,27,0
20,3901200,1,0,28,Ronny Rodelin,Caen,3,Toulouse,Miscontrol,From Throw In,,,0.0,,,0,95.2,73.1,28,0,0,draw,0,27,0
21,3901200,1,0,28,Alexis Blin,Toulouse,3,Toulouse,Ball Recovery,From Throw In,,,0.0,,,0,25.5,9.8,28,0,0,draw,0,27,0
22,3901200,1,0,28,Alexis Blin,Toulouse,3,Toulouse,Carry,From Throw In,,,1.786792,,,0,25.5,9.8,28,0,0,draw,0,27,0
23,3901200,1,0,29,Ronny Rodelin,Caen,3,Toulouse,Pressure,From Throw In,,,1.443811,,,0,92.9,70.1,29,0,0,draw,0,28,0
24,3901200,1,0,30,Alexis Blin,Toulouse,3,Toulouse,Pass,From Throw In,,,1.59843,,,0,14.4,19.0,30,0,0,draw,0,29,0
25,3901200,1,0,32,Ronny Rodelin,Caen,3,Toulouse,Pressure,From Throw In,,,0.721897,,,0,108.3,53.4,32,0,0,draw,0,31,0
27,3901200,1,0,32,Alban Lafont,Toulouse,3,Toulouse,Carry,From Throw In,,,0.073598,,,0,5.2,33.7,32,0,0,draw,0,31,0
28,3901200,1,0,32,Alban Lafont,Toulouse,3,Toulouse,Pass,From Throw In,,,3.802652,Incomplete,,0,7.1,32.2,32,0,0,draw,0,31,0
30,3901200,1,0,36,Martin Braithwaite Christensen,Toulouse,3,Toulouse,Duel,From Throw In,Aerial Lost,,0.0,,,0,63.2,5.5,36,0,0,draw,0,35,0
31,3901200,1,0,36,Dennis Appiah,Caen,3,Toulouse,Pass,From Throw In,,,0.61552,,,0,56.9,74.6,36,0,0,draw,0,35,0
33,3901200,1,0,36,Ismaël Tiémoko Diomandé,Caen,3,Toulouse,Carry,From Throw In,,,0.237659,,,0,66.4,66.5,36,0,0,draw,0,35,0
34,3901200,1,0,36,Ismaël Tiémoko Diomandé,Caen,3,Toulouse,Miscontrol,From Throw In,,,0.0,,,0,64.9,68.2,36,0,0,draw,0,35,0
35,3901200,1,0,37,Martin Braithwaite Christensen,Toulouse,3,Toulouse,Ball Recovery,From Throw In,,,0.0,,,0,57.4,7.2,37,0,0,draw,0,36,0
36,3901200,1,0,37,Martin Braithwaite Christensen,Toulouse,3,Toulouse,Carry,From Throw In,,,1.32139,,,0,57.4,7.2,37,0,0,draw,0,36,0
37,3901200,1,0,38,Ismaël Tiémoko Diomandé,Caen,3,Toulouse,Pressure,From Throw In,,,0.845495,,,0,61.9,73.5,38,0,0,draw,0,37,0
38,3901200,1,0,39,Martin Braithwaite Christensen,Toulouse,3,Toulouse,Dispossessed,From Throw In,,,0.0,,,0,58.7,5.1,39,0,0,draw,0,38,0
39,3901200,1,0,39,Ismaël Tiémoko Diomandé,Caen,3,Toulouse,Duel,From Throw In,Tackle,Success In Play,0.0,,,0,61.4,75.0,39,0,0,draw,0,38,0
40,3901200,1,0,39,Dennis Appiah,Caen,3,Toulouse,Ball Recovery,From Throw In,,,0.0,,,0,63.1,78.7,39,0,0,draw,0,38,0
41,3901200,1,0,39,Dennis Appiah,Caen,3,Toulouse,Carry,From Throw In,,,0.696047,,,0,63.1,78.7,39,0,0,draw,0,38,0
42,3901200,1,0,40,Dennis Appiah,Caen,3,Toulouse,Pass,From Throw In,,,0.715149,,,0,66.4,77.6,40,0,0,draw,0,39,0
43,3901200,1,0,40,Alexis Blin,Toulouse,3,Toulouse,Pressure,From Throw In,,,0.599773,,,0,48.8,10.6,40,0,0,draw,0,39,0
45,3901200,1,0,41,Jonathan Delaplace,Caen,3,Toulouse,Carry,From Throw In,,,0.498842,,,0,69.1,70.1,41,0,0,draw,0,40,0
46,3901200,1,0,41,Jonathan Delaplace,Caen,3,Toulouse,Pass,From Throw In,,,1.402346,Incomplete,,0,70.6,70.5,41,0,0,draw,0,40,0
48,3901200,1,0,43,Jacques François Moubandje,Toulouse,3,Toulouse,Pass,From Throw In,,,1.912654,Incomplete,,0,42.4,2.5,43,0,0,draw,0,42,0
50,3901200,1,0,45,Alaeddine Yahia,Caen,3,Toulouse,Pass,From Throw In,,,1.083467,Incomplete,,0,51.4,74.4,45,0,0,draw,0,44,0
51,3901200,1,0,46,Alexis Blin,Toulouse,3,Toulouse,Clearance,From Throw In,,,0.0,,,0,45.4,6.4,46,0,0,draw,0,45,0
52,3901200,1,0,50,Andy Delort,Caen,3,Toulouse,Duel,From Throw In,Aerial Lost,,0.0,,,0,81.3,61.3,50,0,0,draw,0,49,0
53,3901200,1,0,50,Alexis Blin,Toulouse,3,Toulouse,Pass,From Throw In,,,0.729597,,,0,38.8,18.8,50,0,0,draw,0,49,0
55,3901200,1,0,50,Tongo Hamed Doumbia,Toulouse,3,Toulouse,Carry,From Throw In,,,0.204796,,,0,40.9,23.9,50,0,0,draw,0,49,0
56,3901200,1,0,51,Tongo Hamed Doumbia,Toulouse,3,Toulouse,Pass,From Throw In,,,0.859,,,0,41.1,23.7,51,0,0,draw,0,50,0
58,3901200,1,0,51,Marcel Tisserand,Toulouse,3,Toulouse,Carry,From Throw In,,,0.84527,,,0,37.5,21.3,51,0,0,draw,0,50,0
59,3901200,1,0,52,Andy Delort,Caen,3,Toulouse,Pressure,From Throw In,,,0.466434,,,0,82.4,58.6,52,0,0,draw,0,51,0
60,3901200,1,0,52,Marcel Tisserand,Toulouse,3,Toulouse,Pass,From Throw In,,,1.207302,,,0,37.5,18.5,52,0,0,draw,0,51,0
62,3901200,1,0,54,Jacques François Moubandje,Toulouse,3,Toulouse,Carry,From Throw In,,,0.819951,,,0,42.2,6.4,54,0,0,draw,0,53,0
63,3901200,1,0,54,Andy Delort,Caen,3,Toulouse,Pressure,From Throw In,,,0.606765,,,0,77.9,71.6,54,0,0,draw,0,53,0
65,3901200,1,0,54,Jacques François Moubandje,Toulouse,3,Toulouse,Dribble,From Throw In,,,0.0,,,0,43.7,7.4,54,0,0,draw,0,53,0
66,3901200,1,0,54,Jacques François Moubandje,Toulouse,3,Toulouse,Carry,From Throw In,,,2.056353,,,0,43.7,7.4,54,0,0,draw,0,53,0
67,3901200,1,0,56,Jonathan Delaplace,Caen,3,Toulouse,Pressure,From Throw In,,,0.483535,,,0,68.9,70.3,56,0,0,draw,0,55,0
68,3901200,1,0,56,Jacques François Moubandje,Toulouse,3,Toulouse,Pass,From Throw In,,,1.137521,Incomplete,,0,48.6,7.4,56,0,0,draw,0,55,0
70,3901200,1,0,58,Dennis Appiah,Caen,3,Toulouse,Pass,From Throw In,,,1.363872,Out,,0,46.9,75.7,58,0,0,draw,0,57,0
72,3901200,1,1,10,Jacques François Moubandje,Toulouse,4,Toulouse,Pass,From Throw In,,,1.51282,Incomplete,,0,56.3,0.1,70,0,0,draw,0,69,0
74,3901200,1,1,11,Dennis Appiah,Caen,4,Toulouse,Pass,From Throw In,,,1.253699,Incomplete,,0,36.6,76.3,71,0,0,draw,0,70,0
