team_name,lead_prop,draw_prop,loose_prop,lead_goal,draw_goal,loose_goal,lead_xg,draw_xg,loose_xg,lead_poss,draw_poss,loose_poss,lead_duel_won,draw_duel_won,loose_duel_won,lead_ppda,draw_ppda,loose_ppda,lead_height_def_act,draw_height_def_act,loose_height_def_act,lead_foul_won,draw_foul_won,loose_foul_won,lead_foul_com,draw_foul_com,loose_foul_com,lead_regular_play,draw_regular_play,loose_regular_play,lead_from_free_kick,draw_from_free_kick,loose_from_free_kick,lead_from_throw_in,draw_from_throw_in,loose_from_throw_in,lead_other,draw_other,loose_other,lead_from_counter,draw_from_counter,loose_from_counter,lead_from_goal_kick,draw_from_goal_kick,loose_from_goal_kick,lead_from_keeper,draw_from_keeper,loose_from_keeper,lead_from_kick_off,draw_from_kick_off,loose_from_kick_off,lead_from_corner,draw_from_corner,loose_from_corner
AS Monaco,21.06,49.84,29.1,1.56,0.43,0.64,1.06,0.59,0.83,45.63,49.76,57.11,59.13,55.37,44.92,20.67,20.06,16.92,43.03,42.88,43.97,9.43,9.08,9.64,9.94,9.78,10.25,49.17,43.9,43.79,14.59,14.19,14.14,18.75,22.99,23.38,0.14,0.27,0.02,1.3,1.03,1.17,8.41,7.77,6.6,3.09,5.69,3.31,2.44,1.78,4.63,2.11,2.38,2.96
Angers,20.8,53.82,25.38,1.0,0.37,0.4,0.6,0.63,0.79,53.64,57.06,62.88,48.09,51.53,48.31,15.18,16.77,9.52,44.43,47.04,48.74,9.12,10.14,9.91,9.47,10.85,10.71,45.67,44.66,43.85,14.38,12.03,13.2,23.38,25.58,27.22,0.06,0.1,0.02,0.73,0.67,0.89,9.54,8.23,6.08,2.9,3.8,2.57,1.49,2.23,3.03,1.82,2.69,3.15
Bastia,19.74,54.51,25.75,1.21,0.48,0.31,0.75,0.71,0.87,54.87,54.55,60.75,53.91,48.01,51.05,16.94,14.31,10.03,47.54,49.34,49.92,8.41,11.24,10.88,9.01,11.74,11.54,50.74,45.79,46.48,12.62,15.25,15.01,22.41,22.84,20.97,0.64,0.15,0.43,0.77,0.74,0.87,5.83,7.8,5.32,2.96,3.59,4.13,2.27,1.74,3.72,1.74,2.09,3.05
Bordeaux,26.59,50.8,22.61,1.48,0.53,0.55,1.3,0.63,0.77,39.65,50.76,54.38,54.63,47.43,46.16,18.26,17.94,14.02,44.07,45.74,48.89,10.63,9.12,8.08,10.91,9.87,8.62,45.62,42.22,42.36,14.41,14.6,15.95,20.11,24.56,21.29,0.26,0.2,0.02,1.53,1.07,0.37,8.24,8.55,8.63,4.38,3.91,3.96,2.38,2.54,5.08,3.06,2.35,2.34
Caen,31.65,44.61,23.75,1.5,0.57,0.53,1.25,0.52,0.83,54.4,60.29,67.17,47.87,45.84,47.53,16.84,19.0,10.6,42.64,44.03,47.37,8.93,7.7,8.88,9.51,8.18,9.47,45.96,42.16,45.22,12.95,12.09,13.0,21.05,26.42,25.58,0.11,0.34,0.13,1.01,0.78,0.77,8.02,8.76,6.06,7.16,4.57,3.03,1.45,2.72,2.78,2.28,2.16,3.44
Gazélec Ajaccio,38.71,45.33,15.96,1.19,0.54,0.91,0.8,0.55,0.78,49.61,51.9,62.83,47.64,40.17,37.7,22.87,24.09,11.63,42.21,44.62,50.82,12.08,11.15,9.74,12.3,11.51,10.42,46.97,45.27,41.27,15.38,15.23,16.69,20.33,23.35,25.77,0.25,0.21,0.01,0.98,1.22,1.24,7.24,6.7,5.27,4.28,3.52,3.66,1.83,2.32,4.24,2.73,2.19,1.84
Guingamp,24.38,54.63,20.99,1.2,0.6,0.85,0.86,0.69,0.97,51.61,56.76,61.7,51.19,48.09,50.69,19.55,12.9,12.44,43.24,45.07,46.3,9.43,10.3,7.39,10.0,11.17,8.36,46.72,44.87,47.24,15.0,14.12,12.35,18.75,22.44,23.6,0.3,0.29,0.55,2.14,1.18,1.01,8.71,8.62,5.4,5.52,3.79,1.85,1.52,2.45,5.23,1.35,2.24,2.77
Lille,13.42,56.48,30.1,0.47,0.2,0.43,0.44,0.56,0.57,41.27,47.19,55.63,52.34,54.8,46.07,21.88,21.22,14.06,41.19,44.67,45.12,8.77,11.06,9.15,8.92,11.76,9.85,45.37,43.38,47.89,16.93,15.64,15.07,17.16,22.26,19.86,0.16,0.04,0.52,1.61,0.98,0.73,10.28,9.66,7.04,5.85,3.69,3.27,1.29,1.94,2.78,1.36,2.42,2.84
Lorient,27.47,51.65,20.88,0.77,0.71,0.69,0.64,0.95,0.89,41.65,52.88,57.18,59.3,53.16,54.34,25.88,15.73,15.59,41.75,51.01,47.31,9.1,8.55,8.65,9.46,9.14,9.26,52.08,47.94,43.32,11.43,12.45,12.57,17.36,24.1,23.79,0.47,0.24,0.41,1.14,1.14,0.39,8.87,5.51,8.28,5.17,4.21,3.92,1.84,2.28,4.44,1.65,2.13,2.88
Lyon,23.62,43.47,32.91,1.5,0.44,0.55,1.17,0.49,0.66,39.35,36.46,40.4,55.51,53.72,44.62,34.66,33.59,23.34,42.65,42.01,46.12,9.73,8.21,10.55,10.0,8.66,11.12,49.39,46.91,42.5,15.01,13.63,17.96,17.68,21.37,19.8,0.09,0.06,0.57,1.77,1.14,1.04,8.68,7.89,7.47,3.43,4.72,3.39,1.97,2.44,5.38,1.98,1.84,1.88
Marseille,25.0,57.44,17.56,0.54,0.65,0.53,0.51,0.73,0.47,37.18,41.6,48.65,58.89,54.26,46.79,29.26,19.59,16.18,41.44,46.01,48.68,7.31,10.23,8.32,7.92,10.99,8.89,45.95,44.67,40.44,12.34,14.8,11.05,18.68,22.31,29.15,0.08,0.24,0.0,1.42,1.31,1.13,10.15,7.48,8.76,5.58,4.66,2.2,2.35,2.23,5.31,3.47,2.29,1.96
Montpellier,23.24,51.09,25.67,0.57,0.59,0.92,0.95,0.64,0.82,41.82,51.07,57.73,56.6,53.49,54.55,28.75,18.29,16.88,41.29,47.11,45.28,9.35,8.65,9.34,10.01,9.6,9.96,50.35,48.6,46.4,15.56,11.21,14.37,17.78,22.16,21.28,0.17,0.25,0.33,1.61,0.74,0.91,6.45,7.83,7.08,4.47,3.94,2.98,1.56,2.21,4.31,2.05,3.06,2.34
Nantes,24.85,52.78,22.37,1.23,0.33,0.6,0.91,0.53,0.73,44.36,51.93,59.12,46.54,46.88,45.87,26.87,17.12,15.55,40.51,43.16,46.46,9.43,12.63,11.86,10.14,13.4,12.33,47.31,44.72,45.3,13.65,16.45,15.45,18.09,21.04,22.73,0.36,0.25,0.36,1.76,1.04,0.92,8.5,7.89,6.82,6.1,4.45,3.26,1.34,2.09,3.24,2.88,2.07,1.92
OGC Nice,19.86,47.3,32.83,0.69,0.52,0.56,0.71,0.71,0.85,38.95,41.59,48.19,49.85,49.37,52.81,26.06,24.65,15.99,45.61,47.9,52.46,6.5,8.05,8.39,6.82,8.69,8.61,49.95,47.49,49.84,12.28,14.34,12.47,17.04,21.66,19.18,0.52,0.22,0.09,2.64,1.11,1.19,8.97,6.76,6.5,4.13,2.98,4.12,1.72,2.7,4.41,2.77,2.74,2.19
Paris Saint-Germain,4.72,45.82,49.45,0.66,0.16,0.38,0.75,0.34,0.51,33.64,32.51,36.05,56.77,50.2,46.01,20.04,38.27,33.13,43.73,47.15,46.91,8.62,6.61,7.94,8.62,7.24,8.4,49.09,51.65,46.91,13.94,13.79,14.37,17.09,15.94,18.06,0.19,0.08,0.44,3.81,0.87,0.86,3.71,8.3,7.43,4.22,4.64,3.44,5.03,2.3,6.33,2.92,2.43,2.17
Rennes,27.79,54.13,18.08,0.97,0.6,0.79,0.82,0.56,0.8,46.82,49.28,57.04,53.4,53.6,56.93,27.65,18.38,12.0,43.73,48.18,50.06,8.0,8.53,8.83,8.37,8.98,9.52,49.28,47.04,46.68,14.81,12.64,11.74,17.24,23.93,22.71,0.05,0.11,0.39,1.8,0.94,0.64,7.72,7.27,7.36,5.02,3.04,2.49,1.8,1.96,4.96,2.28,3.09,3.02
Saint-Étienne,16.69,58.94,24.36,1.07,0.36,0.39,0.99,0.65,0.57,43.73,48.66,52.83,51.2,45.55,43.65,26.75,20.18,15.31,38.45,44.73,48.1,7.88,11.64,8.72,8.51,12.56,9.31,49.29,43.12,39.9,14.63,16.52,15.76,16.9,21.68,23.38,0.0,0.09,0.02,1.66,1.16,0.87,8.09,7.46,7.21,5.3,4.66,4.17,1.32,2.03,4.75,2.8,3.28,3.95
