match_id,home_team,away_team,home_score,away_score,date,home_lead_prop,draw_prop,away_lead_prop,home_lead_goal,home_draw_goal,home_loose_goal,away_lead_goal,away_draw_goal,away_loose_goal,home_lead_xg,home_draw_xg,home_loose_xg,away_lead_xg,away_draw_xg,away_loose_xg,home_lead_poss,home_draw_poss,home_loose_poss,away_lead_poss,away_draw_poss,away_loose_poss,home_lead_duel_won,home_draw_duel_won,home_loose_duel_won,away_lead_duel_won,away_draw_duel_won,away_loose_duel_won,home_lead_ppda,home_draw_ppda,home_loose_ppda,away_lead_ppda,away_draw_ppda,away_loose_ppda,home_lead_height_def_act,home_draw_height_def_act,home_loose_height_def_act,away_lead_height_def_act,away_draw_height_def_act,away_loose_height_def_act,home_lead_foul_won,home_draw_foul_won,home_loose_foul_won,away_lead_foul_won,away_draw_foul_won,away_loose_foul_won,home_lead_foul_com,home_draw_foul_com,home_loose_foul_com,away_lead_foul_com,away_draw_foul_com,away_loose_foul_com,home_lead_regular_play,home_lead_from_corner,home_lead_from_free_kick,home_lead_from_throw_in,home_lead_other,home_lead_from_counter,home_lead_from_goal_kick,home_lead_from_keeper,home_lead_from_kick_off,home_draw_regular_play,home_draw_from_corner,home_draw_from_free_kick,home_draw_from_throw_in,home_draw_other,home_draw_from_counter,home_draw_from_goal_kick,home_draw_from_keeper,home_draw_from_kick_off,home_loose_regular_play,home_loose_from_corner,home_loose_from_free_kick,home_loose_from_throw_in,home_loose_other,home_loose_from_counter,home_loose_from_goal_kick,home_loose_from_keeper,home_loose_from_kick_off,away_lead_regular_play,away_lead_from_corner,away_lead_from_free_kick,away_lead_from_throw_in,away_lead_other,away_lead_from_counter,away_lead_from_goal_kick,away_lead_from_keeper,away_lead_from_kick_off,away_draw_regular_play,away_draw_from_corner,away_draw_from_free_kick,away_draw_from_throw_in,away_draw_other,away_draw_from_counter,away_draw_from_goal_kick,away_draw_from_keeper,away_draw_from_kick_off,away_loose_regular_play,away_loose_from_corner,away_loose_from_free_kick,away_loose_from_throw_in,away_loose_other,away_loose_from_counter,away_loose_from_goal_kick,away_loose_from_keeper,away_loose_from_kick_off
3901199,Rennes,Stade de Reims,3,1,2016-04-02,86.87,13.13,0.0,2,1,0,0,0,1,1.13,0.23,0.0,0.0,0.0,0.34,44.61,57.27,0.0,0.0,42.73,55.39,28.0,0.0,0,0,100.0,72.0,28.58,11.0,,,14.25,11.1,38.02,68.5,,,52.29,49.2,15,3,0,0,1,13,16,3,0,0,1,14,43.55,0.81,21.18,27.27,0.0,1.49,3.72,0.44,1.54,26.93,0.0,21.03,5.54,0.0,1.45,9.75,30.2,5.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.77,0.0,15.67,28.9,0.0,0.12,2.08,6.83,20.63,45.6,1.81,20.23,26.28,0.0,0.34,3.32,0.0,2.41
3901178,Lorient,Marseille,1,1,2016-03-12,13.38,86.62,0.0,0,1,0,0,0,1,0.79,1.09,0.0,0.0,0.66,0.13,28.24,42.92,0.0,0.0,57.08,71.76,0.0,56.0,0,0,44.0,100.0,33.5,19.61,,,19.75,,39.48,48.69,,,49.6,2.7,0,10,0,0,13,1,0,12,0,0,14,1,58.19,6.34,0.0,11.72,0.0,3.22,16.52,0.0,4.0,49.09,5.17,22.62,14.23,0.0,1.27,5.39,1.54,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.71,1.8,19.09,19.83,0.0,3.11,6.75,3.67,0.03,18.31,0.47,0.72,20.32,0.0,0.0,40.84,0.0,19.33
3901260,Lorient,Gazélec Ajaccio,1,0,2016-05-14,71.76,28.24,0.0,0,1,0,0,0,0,0.36,0.53,0.0,0.0,0.32,1.64,47.28,60.75,0.0,0.0,39.25,52.72,40.91,40.0,0,0,60.0,59.09,29.22,57.0,,,15.83,7.24,37.66,42.4,,,52.32,56.42,11,3,0,0,1,7,11,4,0,0,1,8,49.07,1.1,9.61,19.49,1.24,0.32,9.93,4.45,4.78,57.52,0.0,4.91,31.38,0.0,1.54,1.57,3.08,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.4,0.45,2.01,45.0,0.0,0.54,4.2,0.53,3.87,48.63,1.84,11.82,21.88,3.7,0.03,5.21,5.17,1.71
3829470,Saint-Étienne,Nantes,2,0,2015-09-20,72.59,27.41,0.0,1,1,0,0,0,0,1.19,0.14,0.0,0.0,0.03,0.39,56.61,48.21,0.0,0.0,51.79,43.39,65.22,33.33,0,0,66.67,34.78,36.83,17.2,,,12.83,11.14,35.61,47.51,,,56.29,46.05,6,2,0,0,4,7,8,3,0,0,4,8,57.88,2.66,7.67,9.55,0.0,1.16,5.71,14.49,0.87,63.42,0.0,6.54,24.08,1.37,0.0,3.96,0.0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.41,0.0,10.71,21.29,0.21,0.54,4.46,0.0,4.38,41.69,11.02,9.69,18.61,0.0,0.28,5.34,9.1,4.27
3901259,Troyes,Marseille,1,1,2016-05-14,53.7,46.3,0.0,0,1,0,0,0,1,0.26,0.72,0.0,0.0,1.55,0.96,34.69,44.33,0.0,0.0,55.67,65.31,64.71,54.55,0,0,45.45,35.29,55.6,99.5,,,11.77,14.29,31.92,23.49,,,68.98,56.43,2,6,0,0,4,4,2,6,0,0,4,5,63.35,8.03,3.43,12.85,0.0,0.86,6.01,4.69,0.77,57.05,2.88,4.48,18.54,2.0,1.36,6.19,5.49,2.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.45,2.75,5.82,11.8,6.45,3.57,3.95,8.9,0.32,45.83,11.65,3.07,25.3,0.0,0.84,4.31,1.34,7.67
3901263,Rennes,Bastia,1,2,2016-05-14,0.0,22.99,77.01,0,0,1,1,1,0,0.0,0.57,1.06,0.49,0.55,0.0,0.0,49.15,59.06,40.94,50.85,0.0,0,0.0,52.94,47.06,100.0,0,,21.0,7.93,29.0,18.6,,,42.2,55.42,35.35,43.62,,0,6,13,7,0,0,0,6,14,7,0,0,0,0,0,0,0,0,0,0,0,38.15,0.89,6.84,41.71,0.0,0.0,2.69,9.72,0.0,50.84,2.33,7.17,21.5,0.0,0.15,4.43,10.53,3.06,41.02,1.66,13.74,12.04,0.0,3.17,11.34,15.66,1.38,54.79,0.57,4.11,24.72,0.0,0.0,9.2,4.3,2.32,0,0,0,0,0,0,0,0,0
3900594,Nantes,Bordeaux,2,2,2016-01-23,93.05,6.95,0.0,1,1,0,0,0,2,0.64,0.36,0.0,0.0,0.0,0.73,33.57,61.1,0.0,0.0,38.9,66.43,52.17,0,0,0,0,47.83,13.61,,,,,10.56,44.94,31.76,,,42.7,45.02,11,1,0,0,3,16,11,1,0,0,3,16,31.09,5.19,15.57,28.7,1.45,0.84,6.17,8.9,2.09,0.0,0.0,12.45,27.0,0.0,9.93,21.87,18.52,10.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,36.24,20.19,0.0,0.95,5.31,0.0,37.31,41.36,2.46,17.63,28.27,0.92,0.0,5.04,2.81,1.51
3900587,Saint-Étienne,Lyon,1,0,2016-01-17,19.3,80.7,0.0,0,1,0,0,0,0,0.17,0.43,0.0,0.0,0.8,0.32,25.63,28.56,0.0,0.0,71.44,74.37,66.67,61.54,0,0,38.46,33.33,79.0,18.94,,,7.81,11.0,33.92,48.16,,,52.06,56.5,1,10,0,0,18,7,2,11,0,0,20,7,33.9,4.44,15.69,9.25,0.0,0.0,33.75,2.98,0.0,32.35,2.15,15.3,32.93,0.0,2.0,7.57,4.35,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.74,1.24,28.23,27.87,0.0,0.12,5.54,1.81,1.44,32.79,11.21,25.53,4.21,0.0,0.0,24.49,0.0,1.77
3900541,Bastia,AS Monaco,1,2,2015-12-05,0.0,77.91,22.09,0,0,1,1,1,0,0.0,0.22,0.07,0.84,1.54,0.0,0.0,47.33,60.49,39.51,52.67,0.0,0,66.67,75.0,25.0,33.33,0,,22.2,13.5,45.0,11.24,,,40.58,52.72,41.14,52.97,,0,8,2,2,12,0,0,12,2,2,12,0,0,0,0,0,0,0,0,0,0,44.47,1.6,12.96,26.96,0.0,1.1,7.58,3.19,2.15,47.29,0.0,7.24,39.55,0.0,0.0,0.0,3.27,2.64,63.4,0.0,4.91,26.8,0.0,0.0,0.0,0.59,4.3,44.7,0.92,9.66,31.35,0.0,0.77,2.74,6.66,3.2,0,0,0,0,0,0,0,0,0
3900596,Guingamp,Bastia,1,0,2016-01-23,0.09,99.91,0.0,0,1,0,0,0,0,0.0,1.87,0.0,0.0,0.17,0.0,0.0,64.19,0.0,0.0,35.81,100.0,0,65.22,0,0,34.78,0,,11.75,,,25.6,,,60.24,,,34.1,,0,19,0,0,5,0,0,19,0,0,6,0,0,0,0,0,0,0,0,0,0,45.79,1.13,16.36,24.16,0.03,0.53,9.06,1.81,1.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.69,0.0,7.56,21.58,0.0,0.37,11.03,2.19,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
