team_name,lead_prop,draw_prop,loose_prop,lead_goal,draw_goal,loose_goal,lead_xg,draw_xg,loose_xg,lead_poss,draw_poss,loose_poss,lead_duel_won,draw_duel_won,loose_duel_won,lead_ppda,draw_ppda,loose_ppda,lead_height_def_act,draw_height_def_act,loose_height_def_act,lead_foul_won,draw_foul_won,loose_foul_won,lead_foul_com,draw_foul_com,loose_foul_com,lead_regular_play,draw_regular_play,loose_regular_play,lead_from_free_kick,draw_from_free_kick,loose_from_free_kick,lead_from_throw_in,draw_from_throw_in,loose_from_throw_in,lead_other,draw_other,loose_other,lead_from_counter,draw_from_counter,loose_from_counter,lead_from_goal_kick,draw_from_goal_kick,loose_from_goal_kick,lead_from_keeper,draw_from_keeper,loose_from_keeper,lead_from_kick_off,draw_from_kick_off,loose_from_kick_off,lead_from_corner,draw_from_corner,loose_from_corner
AS Monaco,29.1,49.84,21.06,0.7,0.69,0.94,1.11,0.75,0.82,42.89,50.24,54.37,53.96,44.46,40.87,23.01,15.65,15.78,45.18,49.37,50.84,10.01,8.85,9.68,10.51,9.83,10.21,46.21,44.42,40.37,14.29,13.69,18.71,20.7,23.23,22.57,0.12,0.15,0.01,2.06,0.89,0.71,6.78,8.94,7.36,5.43,2.99,3.09,2.12,2.97,4.84,2.29,2.73,2.35
Angers,25.38,53.82,20.8,0.73,0.44,0.44,0.6,0.5,0.83,37.12,42.94,46.36,51.67,48.16,51.56,35.59,26.89,22.12,39.14,45.93,44.19,8.5,10.14,9.5,8.96,10.67,9.86,46.22,47.01,44.78,12.3,12.48,13.1,21.86,22.62,24.17,0.01,0.08,0.27,0.85,1.07,0.89,8.18,8.43,8.05,6.56,4.12,3.0,1.41,1.75,4.09,2.62,2.43,1.66
Bastia,25.75,54.51,19.74,0.73,0.4,0.32,0.58,0.49,0.26,39.25,45.45,45.13,48.95,51.71,45.66,23.12,21.48,25.82,41.42,45.79,46.09,8.95,9.43,7.71,9.83,10.18,7.92,43.34,45.93,43.51,15.71,14.51,12.89,17.91,21.68,24.43,0.41,0.21,0.1,1.89,1.21,1.17,9.32,8.08,5.72,7.7,4.9,5.45,1.14,1.84,5.42,2.6,1.64,1.31
Bordeaux,22.61,50.8,26.59,1.01,0.42,1.01,0.66,0.67,0.76,45.62,49.24,60.35,53.48,52.2,43.97,21.87,18.48,13.51,41.22,44.78,46.61,9.49,9.81,12.12,10.02,10.4,12.74,52.02,45.66,41.85,15.8,13.99,15.86,16.88,22.38,23.23,0.12,0.27,0.15,0.93,0.97,0.92,8.54,6.87,7.27,1.99,3.92,2.61,2.35,2.48,5.49,1.38,3.45,2.61
Caen,23.75,44.61,31.65,0.71,0.5,0.41,0.73,0.66,0.77,32.83,39.71,45.6,52.47,54.16,52.13,33.27,21.93,15.47,38.6,45.35,47.0,9.33,7.42,10.66,9.89,7.93,11.24,49.86,48.32,45.36,12.19,10.1,11.59,18.42,23.78,24.6,0.09,0.42,0.06,3.02,1.49,1.0,8.39,7.03,7.67,3.13,4.36,3.58,1.82,1.9,3.74,3.07,2.61,2.4
Gazélec Ajaccio,15.96,45.33,38.71,0.74,0.45,0.4,0.46,0.61,0.72,37.17,48.1,50.39,62.3,58.11,52.27,24.22,16.6,16.62,42.53,45.79,47.72,7.39,7.14,8.59,8.04,7.51,9.27,46.13,46.7,45.95,14.61,11.93,12.5,20.35,23.73,24.04,0.01,0.26,0.26,1.83,0.74,0.56,8.27,8.08,5.97,5.33,4.12,3.88,1.75,2.31,3.91,1.72,2.13,2.92
Guingamp,20.99,54.63,24.38,0.8,0.49,0.95,0.58,0.7,0.81,38.3,43.24,48.39,49.3,50.63,48.59,39.87,24.24,18.54,38.03,45.03,47.07,10.1,12.09,9.88,10.85,12.77,10.12,46.94,43.0,44.18,15.67,15.33,14.59,18.24,21.13,16.89,0.21,0.54,0.44,1.41,1.56,1.59,8.43,9.0,8.83,5.04,4.16,5.39,1.76,2.92,5.59,2.28,2.36,2.49
Lille,30.1,56.48,13.42,0.74,0.51,0.31,0.54,0.66,0.58,44.37,52.81,58.73,53.76,45.2,47.66,16.6,13.94,9.25,46.53,49.57,54.51,9.45,11.81,13.3,10.17,12.67,14.07,48.84,44.02,42.27,15.07,15.5,15.82,17.73,23.74,25.17,0.26,0.05,0.0,1.38,1.08,1.17,7.48,7.52,7.32,5.73,3.32,2.8,1.27,2.38,2.97,2.24,2.4,2.49
Lorient,20.88,51.65,27.47,0.77,0.45,0.81,1.05,0.47,0.77,42.82,47.12,58.35,45.66,45.82,40.7,26.36,30.28,13.84,42.33,44.86,49.41,7.3,9.85,9.79,7.75,10.67,10.06,46.39,46.01,46.41,12.02,15.54,15.01,20.14,20.94,20.78,0.38,0.07,0.77,1.1,1.02,0.48,8.08,7.86,6.84,7.55,4.74,3.15,1.92,1.64,4.6,2.42,2.18,1.96
Lyon,32.91,43.47,23.62,1.89,0.56,0.79,1.43,0.87,0.71,59.6,63.54,60.65,55.38,46.28,44.49,14.2,12.81,14.35,45.64,49.78,48.61,11.11,10.25,11.79,11.5,10.9,12.34,43.31,43.48,42.93,16.18,16.66,17.05,21.52,24.74,23.0,0.25,0.19,0.02,1.34,0.78,0.6,8.41,6.06,6.29,4.3,3.91,3.24,1.95,2.29,5.01,2.75,1.88,1.86
Marseille,17.56,57.44,25.0,1.41,0.42,0.75,1.0,0.7,0.92,51.35,58.4,62.82,51.07,45.55,41.11,19.32,16.16,13.39,43.6,47.01,48.1,9.46,11.5,8.17,9.93,12.13,9.05,47.33,40.74,40.63,12.32,16.62,13.9,22.71,22.79,23.22,0.04,0.3,0.15,0.97,1.16,1.1,7.41,9.53,9.99,2.66,3.69,2.76,3.62,2.51,4.29,2.92,2.65,3.96
Montpellier,25.67,51.09,23.24,1.34,0.53,0.22,0.79,0.49,0.82,42.27,48.93,58.18,45.45,45.55,43.27,26.76,21.33,12.15,44.65,45.27,50.39,9.88,10.42,10.12,10.26,11.02,10.81,47.36,47.16,49.99,15.25,13.44,14.16,19.02,23.01,23.09,0.56,0.28,0.07,1.89,0.73,0.76,8.44,6.66,5.04,2.96,3.84,1.48,1.64,2.01,3.11,2.88,2.88,2.3
Nantes,22.37,52.78,24.85,0.69,0.43,0.6,0.65,0.64,0.48,40.88,48.07,55.64,54.13,52.35,53.46,22.15,16.03,16.32,42.22,46.63,45.35,7.61,9.67,8.39,7.86,10.17,9.0,48.5,48.15,47.69,12.25,12.86,12.45,20.04,21.8,20.1,0.21,0.22,0.35,1.42,0.88,0.92,8.46,7.28,6.74,5.05,4.42,3.95,1.4,1.83,4.2,2.67,2.55,3.61
OGC Nice,32.83,47.3,19.86,1.08,0.58,0.55,0.88,0.65,0.69,51.81,58.41,61.05,47.19,50.63,49.81,26.72,18.32,18.8,40.74,44.18,44.13,8.29,9.74,8.06,8.85,10.15,8.82,50.87,44.92,46.47,14.5,15.09,15.26,16.24,23.13,20.59,0.38,0.11,1.24,1.21,0.46,0.72,8.4,7.57,6.32,4.79,4.15,2.72,1.65,2.27,4.44,1.97,2.3,2.25
